tail,decision_class,research_reason,rank_score,rows,family_cells,source_ready_rows,source_ready_examples,prefix_last2_distribution,register_distribution,site_distribution,source_distribution,exact_prefix_contrasts,preframe_contrasts,register_contrasts,source_live_contrasts,examples
603,top_live_simple_tail_cluster,"three source-ready post-861 rows, participates in the source-ready 220-032 split, and is not explained by one exact prefix",42,3,3,3,M-240 +520-240-220-032-002-861-603+;M-714 +740-585-017-033-705-233-798-803-002-861-603+;M-1273 +740-055-002-861-603+,220 032:1;798 803:1;740 055:1,Mohenjo-daro|SEAL:S|Gaur|square:1;Mohenjo-daro|SEAL:S|Bull1:W|square:1;Mohenjo-daro|SEAL:R|None|rectangular:1,Mohenjo-daro:3,same_line_candidate_present:1;same_line_candidate_present_crowded:1;same_line_candidate_present_strongest_603:1,0,4,6,7,M-240 +520-240-220-032-002-861-603+;M-714 +740-585-017-033-705-233-798-803-002-861-603+;M-1273 +740-055-002-861-603+
533 717,conditional_fixed_final_unit,"two source-ready rows and a fixed pair, but no exact-prefix or same-last2 contrast; lives mainly in a register split",21,2,2,2,M-376 +740-100-176-002-861-533-717+;M-391 +405-845-686-740-793-003-233-805-002-861-533-717+,100 176:1;233 805:1,Mohenjo-daro|SEAL:R|None|cuboid-convex:2,Mohenjo-daro:2,same_line_candidate_present:1;same_line_candidate_present_long_row:1,0,1,2,3,M-376 +740-100-176-002-861-533-717+;M-391 +405-845-686-740-793-003-233-805-002-861-533-717+
255 416,source_ready_minimal_contrast_singleton,one source-ready row in the 220-032 contrast cluster; important because it blocks a binary bare-vs-603 reading,14,1,1,1,M-91 +740-100-798-220-032-002-861-255-416+,220 032:1,Mohenjo-daro|SEAL:S|Bull1:S|square:1,Mohenjo-daro:1,same_line_singleton_candidate_present:1,0,2,2,2,M-91 +740-100-798-220-032-002-861-255-416+
360 520 919 140,source_ready_long_continuation_adversary,one source-ready same-register long continuation that prevents treating no-icon cuboid-convex SEAL:R as the 533-717 function,13,1,1,1,M-355 +740-877-032-033-705-231-235-002-861-360-520-919-140+,231 235:1,Mohenjo-daro|SEAL:R|None|cuboid-convex:1,Mohenjo-daro:1,source_visible_this_campaign:1,0,1,2,2,M-355 +740-877-032-033-705-231-235-002-861-360-520-919-140+
416,source_acquisition_cluster_not_linguistic_yet,count-supported but source-pending; do not promote until at least one source image and family-cell check exist,12,6,1,0,,<START>:6,Harappa|TAB:I|None|rectangular:6,Harappa:6,source_pending_or_not_checked:6,1,3,0,0,H-2094 +002-861-416+;H-2097 +002-861-416+;H-2095 +002-861-416+;- +002-861-416+;H-2096 +002-861-416+;H-910 +002-861-416+
031,metadata_singleton_watch,single metadata row; source-route before interpretation,10,1,1,0,,773 240:1,Mohenjo-daro|SEAL:S|Bull1:W|square:1,Mohenjo-daro:1,source_pending_or_not_checked:1,0,1,2,2,M-706 +740-773-240-002-861-031+
698,source_acquisition_cluster_not_linguistic_yet,count-supported but source-pending; do not promote until at least one source image and family-cell check exist,10,2,1,0,,<START>:2,Mohenjo-daro|SEAL:S|None|square:2,Mohenjo-daro:2,source_pending_or_not_checked:2,1,3,2,0,M-329 +002-861-698+;M-330 +002-861-698+
803,metadata_singleton_watch,single metadata row; source-route before interpretation,10,1,1,0,,033 705:1,Mohenjo-daro|SEAL:S|Bull1:W|square:1,Mohenjo-daro:1,source_pending_or_not_checked:1,0,1,2,2,M-1698 +740-482-033-705-002-861-803+
832,metadata_singleton_watch,single metadata row; source-route before interpretation,10,1,1,0,,740 798:1,Mohenjo-daro|SEAL:S|Bull1:W|square:1,Mohenjo-daro:1,source_pending_or_not_checked:1,0,1,2,2,M-1681 +520-072-233-740-798-002-861-832+
032 520 919 140,metadata_singleton_watch,single metadata row; source-route before interpretation,9,1,1,0,,070 219:1,Mohenjo-daro|SEAL:S|Bull1:W|square:1,Mohenjo-daro:1,source_pending_or_not_checked:1,0,0,2,2,M-1661 +520-070-219-002-861-032-520-919-140+
036 460 513,metadata_singleton_watch,single metadata row; source-route before interpretation,9,1,1,0,,390 005:1,Mohenjo-daro|SEAL:S|Bull1:W|square:1,Mohenjo-daro:1,source_pending_or_not_checked:1,0,0,2,2,M-20 +390-005-002-861-036-460-513+
096,metadata_singleton_watch,single metadata row; source-route before interpretation,9,1,1,0,,<START>:1,Mohenjo-daro|ROD|None|-:1,Mohenjo-daro:1,source_pending_or_not_checked:1,1,3,2,0,M-2089 +002-861-096+
125,metadata_singleton_watch,single metadata row; source-route before interpretation,7,1,1,0,,390 004:1,Harappa|SEAL:S|Bull1:X|square:1,Harappa:1,source_pending_or_not_checked:1,1,3,0,0,H-55 +390-004-002-861-125+
392,metadata_singleton_watch,single metadata row; source-route before interpretation,7,1,1,0,,740 176:1,Lothal|SEAL:S|Gaur|square:1,Lothal:1,source_pending_or_not_checked:1,0,2,0,1,L-46 +527-388-233-740-176-002-861-392+
