date,crop_id,source_view,source_path,crop_box,visual_quality,contamination_status,decision_use,reason,accepted_claim
2026-05-26,T004_old,M-37 A,tmp/m1206_034_terminal_component_gate/derived/T004.png,"old derived crop",usable_old_but_contaminated,visible_horn_or_animal_relief,superseded_by_recut_packet,"Old crop includes adjacent curved material; not a clean isolated terminal control.",0
2026-05-26,T005_old,M-37 a,tmp/m1206_034_terminal_component_gate/derived/T005.png,"old derived crop",usable_old_but_contaminated,visible_horn_or_animal_relief,superseded_by_recut_packet,"Old mirror crop includes adjacent curved material; not a clean isolated terminal control.",0
2026-05-26,M37_A_terminal_tight_from_signband.png,M-37 A,tmp/m1206_terminal_triad_source_recheck/derived/m37_A_signband_v2.png,"430,0,250,245",improved_but_still_context_heavy,minor_left_neighbor_and_right_relief_pressure,diagnostic_reference_only,"Preserves comb/stem but still carries neighboring relief; useful for morphology, not clean control.",0
2026-05-26,M37_A_terminal_right_trim_from_signband.png,M-37 A,tmp/m1206_terminal_triad_source_recheck/derived/m37_A_signband_v2.png,"450,0,220,235",improved,minor_right_relief_pressure,secondary_recut_reference,"Reduces left neighbor and some right intrusion but keeps residual adjacent relief.",0
2026-05-26,M37_A_terminal_strict_core_from_signband.png,M-37 A,tmp/m1206_terminal_triad_source_recheck/derived/m37_A_signband_v2.png,"450,0,190,245",best_primary_recut,clean_enough_isolated_control,primary_promoted_same_site_415_control,"Best M-37 control: preserves diagnostic top rake/comb plus central descending stem while removing the major right-hand curved contaminant.",0
2026-05-26,M37_A_terminal_minimal_core_from_signband.png,M-37 A,tmp/m1206_terminal_triad_source_recheck/derived/m37_A_signband_v2.png,"470,0,160,245",cleanest_isolation_check,low_contamination_but_context_poor,backup_isolation_check,"Cleanest isolation check, but too tight to be the primary comparison crop because it suppresses some terminal context.",0
2026-05-26,M37_a_terminal_tight_from_full.png,M-37 a,tmp/m1206_terminal_triad_source_recheck/derived/dotnet_m37_bottom_right_a.png,"385,0,250,260",context_heavy,visible_left_neighbor_and_right_relief_pressure,diagnostic_reference_only,"Preserves mirror-side context but includes neighboring material.",0
2026-05-26,M37_a_terminal_right_trim_from_full.png,M-37 a,tmp/m1206_terminal_triad_source_recheck/derived/dotnet_m37_bottom_right_a.png,"405,0,220,250",improved,minor_neighbor_pressure,secondary_recut_reference,"Improves over old T005 but still not clean enough for decisive isolated-control use.",0
2026-05-26,M37_a_terminal_strict_core_from_full.png,M-37 a,tmp/m1206_terminal_triad_source_recheck/derived/dotnet_m37_bottom_right_a.png,"450,0,190,285",mirror_corroboration_recut,reduced_but_not_primary,corroborating_mirror_reference,"Useful mirror-side corroboration of the comb/stem profile, but the A strict signband crop is the primary same-site control.",0
2026-05-26,M37_a_terminal_minimal_core_from_full.png,M-37 a,tmp/m1206_terminal_triad_source_recheck/derived/dotnet_m37_bottom_right_a.png,"470,0,160,285",low_contamination_but_context_poor,lowest_contamination_with_trimming,minimal_a_reference_only,"Minimizes contamination but strips context and should not be used alone.",0
2026-05-26,recut_gate_decision,M-37 A/a,multiple,"see input manifest",promoted_clean_same_site_control,clean_isolated_control_with_subform_distinction,same_site_415_control_but_not_closest_m1206_match,"M37_A_terminal_strict_core_from_signband.png promotes M-37 to clean isolated same-site 415 control; it remains a comb/rake subform rather than the closest visual neighbor to the M-1206 vertical bundle.",0
