cisi,category,text,source_route,source_page,crop_file,source_visible,same_physical_line,side_mapping_status,packet_status,note,batch
M-722,target_240_220_032,+740-585-240-220-032-002-817+,source_volume_ocr_hit,Pakistan pdf page 83 / Pakistan_0082.djvu,C:\Users\Acer\OneDrive\Documents\ivc\tmp\032_002_y_source_function_batch\M722_target_817_page083_label_context.png,yes,yes,"source label M-722 a matches object face, local side mapping still corpus-policy","row-level source-visible; 032-002-817 packet visually on same signband, detailed sign boxes still needed",Target 002-817 witness. Crop shows one continuous signband and label M-722 a; object is fragment/poor but source-visible.,batch1
H-444,non240_a_220_032,+241-220-032-002-861+,source_volume_ocr_hit,Pakistan pdf page 310 / Pakistan_0309.djvu,C:\Users\Acer\OneDrive\Documents\ivc\tmp\032_002_y_source_function_batch\H444_non240_861_page310_full_panel_context.png,yes,yes,source label H-444 A; local row has one side,row-level source-visible; five-sign top signband visible; detailed token boxes still needed,Non-240 A-220 core control. Strong row-level source witness for same-line 032-002-Y packet.,batch1
M-1385,outside_a_220_x_032,+740-760-032-002-817+,source_volume_ocr_hit,Pakistan pdf page 218 / Pakistan_0217.djvu,C:\Users\Acer\OneDrive\Documents\ivc\tmp\032_002_y_source_function_batch\M1385_outside_817_hit5_page218_label_context.png,partial,unclear,multiple source faces A1-4/B/D/E; local side mapping unresolved,object source-visible but target local row not yet mapped to a source face,Outside control remains useful but cannot yet classify the 032-002-817 packet until face/side mapping is resolved.,batch1
M-49,target_240_220_032,+527-550-240-220-032-002-300-350-032-190+,source_volume_ocr_hit,India page n58 / India_0058.djvu,C:\Users\Acer\OneDrive\Documents\ivc\tmp\032_002_y_source_function_batch\M49_target_300_fullpanel_a.png,yes,yes,source labels M-49 A/a; local row has one side,target non-core source-visible; 032-002-300 and later 032-190 extension need token boxes,Important target contrast: same 240-220-032-002 lane but non-core Y=300 and extended tail.,batch2
M-21,outside_a_220_x_032,+350-001-740-362-692-032-002-861+,source_volume_ocr_hit,India page n48 / India_0048.djvu,C:\Users\Acer\OneDrive\Documents\ivc\tmp\032_002_y_source_function_batch\M21_outside_861_fullpanel_a.png,yes,yes,source labels M-21 A/a; local row has one side,outside 002-861 control source-visible at row level; detailed boxes still needed,High-value outside control for whether 032-002-861 is a general tail packet or A-220-linked.,batch2
M-174,non240_a_220_032,+740-923-220-032-002-820+,source_volume_ocr_hit,India pages n402/n403 / India_0402/0403,C:\Users\Acer\OneDrive\Documents\ivc\tmp\032_002_y_source_function_batch\M174_non240_820_hit1_india_0402_label_context.png,no,not_checked,"OCR hits are data/register rows, not inscription panels",not usable as source-function witness yet,Do not count as source-visible. Needs plate/archive route for the actual seal panel.,batch2
M-221,non240_a_220_032,+740-760-335-220-032-002-820+,source_volume_ocr_hit,India page n26 / India_0026.djvu,C:\Users\Acer\OneDrive\Documents\ivc\tmp\032_002_y_source_function_batch\M221_non240_820_india_0026_label_context.png,no,not_checked,"OCR hit is prose/context mention, not inscription panel",not usable as source-function witness yet,Do not count as source-visible. Needs source panel acquisition.,batch2
M-375,non240_a_220_032,+740-100-233-220-032-002-820+,source_volume_ocr_hit,India page n128 / India_0128.djvu,C:\Users\Acer\OneDrive\Documents\ivc\tmp\032_002_y_source_function_batch\M375_non240_820_hit2_india_0128_label_context.png,yes,yes,source labels M-375 A/a; local row has one side,non-240 002-820 control source-visible at row level; detailed boxes still needed,Good source-visible non-240 A-220 control outside the square seal surface: SEAL:R cuboid-convex.,batch2
H-597,outside_a_220_x_032,+740-390-590-070-032-002-861+,source_volume_ocr_hit,Pakistan pdf page 332 / Pakistan_0331.djvu,C:\Users\Acer\OneDrive\Documents\ivc\tmp\032_002_y_source_function_batch\H597_outside_861_pakistan_0331_label_context.png,yes,yes,"source labels H-597 C/c; local has two identical text rows, side bridge acceptable at row level but needs side note",outside 002-861 control source-visible at row level; detailed boxes still needed,"Useful Harappa outside control; local duplicate sides have same text, reducing side-mapping risk.",batch2
C-10,non240_a_220_032,+740-231-220-032-002-817+,chanhu_daro_mackay_public_scan,Mackay 1943 Plate LI:29 / CH 2297,C:\Users\Acer\OneDrive\Documents\ivc\tmp\chanhudaro_mackay_1943\crops_final\C10_non240_817_plateLI_no29_context.png,yes,yes,Plate LI item 29 binds CH 2297 to C-10; local row has one side,"row-level source-visible low-res; 032-002-817 packet visible enough for branch evidence, not token-level sign mapping",Upgrades non-240 A-220 817 branch at Chanhu-daro; supports 817 outside target/240 frame.,3_chanhudaro
C-60,outside_a_220_x_032,+740-176-032-002-861+,chanhu_daro_mackay_public_scan,Mackay 1943 Plate LII:24 / CH 2605,C:\Users\Acer\OneDrive\Documents\ivc\tmp\chanhudaro_mackay_1943\crops_final\C60_outside_861_plateLII_no24_context.png,yes,yes,Plate LII item 24 binds CH 2605 to C-60; local row has one side,"row-level source-visible low-res; 032-002-861 packet visible enough for branch evidence, not token-level sign mapping",Adds Chanhu-daro outside-control 861; strengthens portable 002-861 branch across sites.,3_chanhudaro
C-65,target_240_220_032,+000-100-240-220-032-002-861+,chanhu_daro_mackay_public_scan,Mackay 1943 Plate LII:19 / CH 2428,C:\Users\Acer\OneDrive\Documents\ivc\tmp\chanhudaro_mackay_1943\crops_final\C65_target_861_plateLII_no19_public_dark.png,no,not_usable,"Plate LII item 19 binds CH 2428 to C-65, but public scan face is too dark for row evidence",source object/provenance found; public plate not row-usable for target 002-861 reading,Do not count as source-visible target 861. Need better scan/photo of CH 2428.,3_chanhudaro
