date,evidence_unit,object_or_scope,local_text,source_status,visual_status,admissibility,current_use,blocking_issue,accepted_claim
2026-05-26,target_core,M-1206 A/a,+520-220-034+,source_visible,terminal_component_core_T002_T003,admissible_positive_target,target_terminal_stability,"single exact 520-220-034 object in local frame",0
2026-05-26,target_secondary,M-1206 A+E,+520-220-034+,source_visible,weaker_terminal_member_T001,admissible_secondary_target,target_terminal_stability_support,"composite side label and weaker crop",0
2026-05-26,clean_415_control,H-938 A,+520-220-415+,source_visible_exact_side,closest_clean_external_terminal_T006,admissible_exact_control,strongest_415_family_pressure,"different site/type from M-1206",0
2026-05-26,clean_415_duplicate,H-938 A bis,+520-220-415+,same_side_photo_duplicate,closest_clean_external_terminal_T007,admissible_duplicate_control,visibility_support_not_independent_recurrence,"bis is not independent object or side",0
2026-05-26,clean_415_control,H-940 A,+520-220-415+,source_visible_exact_side,weaker_external_terminal_T008,admissible_exact_control,secondary_415_family_pressure,"different site/type and weaker terminal match than H-938",0
2026-05-26,same_site_415_control,M-37 A,+520-220-415+,source_visible_same_site,clean_strict_signband_recut_comb_rake_subform,admissible_same_site_control,same_site_415_control_not_closest_m1206_match,"M37_A_terminal_strict_core_from_signband.png promotes M-37 to clean isolated same-site 415 control, but it remains a comb/rake-with-stem subform rather than the closest vertical-bundle match to M-1206.",0
2026-05-26,side_gated_415_candidate,H-786 A,+520-220-415+ local row unresolved,source_visible_but_side_mapping_unresolved,possible_lower_confidence_terminal_match_T009,pressure_only,visual_pressure_not_exact_control,"no object-specific A/B to local 1677.2 bridge",0
2026-05-26,side_gated_415_candidate,H-941 A/A bis,+520-220-415+ local row unresolved,source_visible_but_side_mapping_unresolved,close_terminal_match_T010,pressure_only,visual_pressure_not_exact_control,"no object-specific A/B to local 1821.2 bridge",0
2026-05-26,same_site_terminal_contrast,M-1912,+520-220-003+,secondary_visual_lead_only_not_source_grade,not_in_current_blind_packet,required_next_control,missing_same_site_non034_terminal_acquisition_target,"M-1912 source gate checked local metadata, RMRL/Bhaskar visual/catalogue lead, CISI 3.1 route, and fresh exact public search; no source-grade object image or source transcription acquired",0
2026-05-26,singleton_terminal_control,H-942,+520-220-016+,source_visible_side_mapping_caution,H-942_A_panel_labeled_from_cisi_pakistan_n374.png,admissible_control_target,source_visible_singleton_016_control_for_next_packet,"CISI Pakistan n374 labels H-942 A/B; A is likely the longer local +520-220-016+ side, but this is a local sign-count inference rather than a global side-policy rule",0
2026-05-26,singleton_terminal_control,K-150,+520-220-006+,secondary_catalogue_lead_only_not_source_grade,not_in_current_blind_packet,acquisition_target_only,source_gated_singleton_006_control,"K-150 is outside checked CISI India K-1 to K-122 range; current evidence is local row plus Bhaskar S1 catalogue lead and negative exact public search",0
2026-05-26,independent_034_pressure,M-1584,+034+,source_visible,different_medium_not_classifiable_C011,excluded_from_positive_count,none,"single pottery/rim context cannot support M-1206 terminal class in current packet",0
2026-05-26,independent_034_pressure,M-685,]034-204+,source_visible_fragmentary,not_classifiable_C012_C013,excluded_from_positive_count,none,"fragmentary and adjacent 204 context blocks component-level classification",0
2026-05-26,negative_controls,T011-T016,prefix_or_nonterminal_components,source_visible_mixed,rejected_distractors,admissible_confound_control,shared_prefix_not_sufficient,"does not decide allograph vs split",0
2026-05-26,exact_frame_counts,+520-220-X,034 singleton; 415 count 17; 003/006/016 singleton controls,local_corpus_count,frequency_not_decisive,context_only,prevents_frequency_overclaim,"exact frame cannot prove value or allography by count alone",0
