query_id,rank,lead_label,lead_class,query_role,query_text,status,cdli_url,http_status,byte_length,page_count,page_cap_reached,returned_artifacts,query_line_artifacts,unique_inscription_hashes,duplicate_cluster_count,max_duplicate_cluster_size,artifacts_with_meluhha_anywhere,artifacts_with_query_line_and_meluhha_anywhere,artifacts_with_query_line_adjacent_to_meluhha,artifacts_with_query_line_same_as_meluhha,query_line_anywhere_false_positive_rate,query_line_adjacency_false_positive_rate,passes_negative_gate,gate_reason,meluhha_artifact_ps,non_meluhha_artifact_ps,rationale
mn_f36f42ba8336175a,1,Shu-ilishu interpreter seal,onomastic_interpreter_title,diagnostic,eme-bal me-luh-ha,ok,https://cdli.earth/search?atf_transliteration=eme-bal%20me-luh-ha&format=json&limit=100,200,3936,1,false,1,1,1,0,1,1,1,1,1,0.000000,0.000000,false,"Singleton or non-replicated source-side hit; retained as a lead, not accepted evidence.",P525331,,"P525331 has `szu-i3-li2-su` adjacent to `eme-bal me-luh-ha{ki}`, the strongest readable interpreter/name configuration in the current export."
mn_fa929cf2439868d1,1,Shu-ilishu interpreter seal,onomastic_interpreter_title,diagnostic,eme-bal me-luh-ha{ki},ok,https://cdli.earth/search?atf_transliteration=eme-bal%20me-luh-ha%7Bki%7D&format=json&limit=100,200,3936,1,false,1,1,1,0,1,1,1,1,1,0.000000,0.000000,false,"Singleton or non-replicated source-side hit; retained as a lead, not accepted evidence.",P525331,,"P525331 has `szu-i3-li2-su` adjacent to `eme-bal me-luh-ha{ki}`, the strongest readable interpreter/name configuration in the current export."
mn_ee5da5a9f27514d4,1,Shu-ilishu interpreter seal,onomastic_interpreter_title,matched_negative,szu-i3-li2-su,ok,https://cdli.earth/search?atf_transliteration=szu-i3-li2-su&format=json&limit=100,200,2961805,3,false,207,175,207,0,1,1,1,1,0,0.994286,0.994286,false,Anchor is not Meluhha-diagnostic: 99.4% of query-line artifacts lack any Meluhha line.,P525331,P105667|P107777|P141787|P212426|P212930|P212964|P212965|P213004|P213177|P213189|P213315|P213370|P213374|P213404|P213407|P213418|P213419|P213420|P213423|P213425|P213426|P213427|P213432|P213434|P213444|P213450|P213452|P213453|P213458|P213468|P214880|P214958|P215089|P215091|P215109|P215135|P215151|P215159|P215333|P215336|P215345|P215348|P215369|P215379|P215389|P215390|P215391|P215404|P215513|P215514|P215516|P215517|P215520|P215526|P215540|P215629|P215648|P215889|P215899|P216859|P216870|P217257|P217259|P217261|P217264|P217265|P217268|P217273|P217275|P217291|P217294|P217424|P217563|P247749|P250931|P251903|P251905|P253267|P253273|P253290|P253301|P253302|P253317|P253338|P320509|P322922|P322937|P323049|P323090|P323376|P323482|P323486|P323487|P323488|P323489|P323492|P323526|P323527|P323528|P323529|P323530|P323531|P323532|P323536|P323541|P323543|P323545|P323555|P323556|P323558|P323560|P323561|P323567|P323568|P323571|P323572|P323575|P323577|P323580|P323581|P323583|P323587|P323591|P323594|P323601|P323608|P323612|P323621|P323622|P323627|P323643|P323681|P323904|P323905|P323907|P323908|P323916|P323964|P323966|P324915|P324968|P325416|P329150|P329179|P363090|P363116|P376083|P378881|P387871|P387949|P390502|P430685|P453063|P453699|P454105|P454737|P455350|P459162|P469972|P473086|P474319|P476037|P477520|P491500|P491501|P491502|P491503|P491504|P491556|P520302|P520305|P520306|P520312|P520329,Does the interpreter personal name occur away from the Meluhha title?
mn_a4712307fc011123,2,Irisagrig Meluhha ration group,ration_group_person_cluster,diagnostic,a-li-a-hi,ok,https://cdli.earth/search?atf_transliteration=a-li-a-hi&format=json&limit=100,200,84436,1,false,8,6,8,0,1,3,3,3,0,0.500000,0.500000,false,Anchor is not Meluhha-diagnostic: 50.0% of query-line artifacts lack any Meluhha line.,P453801|P516138|P516366,P105071|P105080|P301494,"P453801, P516138, and P516366 preserve repeated `i3-ba lu2 me-luh-ha{ki}-me` contexts with neighboring names or role phrases."
mn_f978140475ce833c,2,Irisagrig Meluhha ration group,ration_group_person_cluster,anchor,a-li-a-hi dam-a-ni,ok,https://cdli.earth/search?atf_transliteration=a-li-a-hi%20dam-a-ni&format=json&limit=100,200,9668,1,false,3,3,3,0,1,3,3,3,0,0.000000,0.000000,candidate_only,Matched-negative gate did not reject this source-side cuneiform lead; it still requires duplicate-edition review and external-object linkage before any claim.,P453801|P516138|P516366,,"P453801, P516138, and P516366 preserve repeated `i3-ba lu2 me-luh-ha{ki}-me` contexts with neighboring names or role phrases."
mn_b66c600e7368d16b,2,Irisagrig Meluhha ration group,ration_group_person_cluster,diagnostic,a-ru-a lugal,ok,https://cdli.earth/search?atf_transliteration=a-ru-a%20lugal&format=json&limit=100,200,4293996,2,false,117,109,117,0,1,4,4,3,0,0.963303,0.972477,false,Anchor is not Meluhha-diagnostic: 96.3% of query-line artifacts lack any Meluhha line.,P453801|P454137|P516138|P516366,P101785|P102090|P102924|P103086|P103277|P103302|P103814|P103980|P103996|P104097|P104110|P108786|P109907|P111251|P113017|P113475|P114751|P114758|P114906|P117455|P118491|P118997|P119008|P119275|P119676|P121326|P124389|P125033|P125294|P127304|P127983|P128061|P128744|P129193|P129828|P130026|P130259|P130356|P130360|P131523|P131639|P132786|P133756|P135732|P135735|P135736|P136409|P136418|P136700|P137043|P137431|P137687|P137830|P137831|P137870|P139237|P139863|P141796|P203945|P208520|P209255|P212348|P248908|P250546|P250589|P253405|P255075|P272541|P290836|P292100|P318560|P333702|P340089|P340881|P361738|P379939|P387934|P390806|P390876|P453760|P453949|P453965|P454099|P454223|P454263|P514819|P514824|P514929|P515007|P515098|P515293|P515457|P515459|P515570|P515579|P515708|P515728|P515774|P516152|P516190|P516259|P516314|P516317|P516655|P519453,"P453801, P516138, and P516366 preserve repeated `i3-ba lu2 me-luh-ha{ki}-me` contexts with neighboring names or role phrases."
mn_c7cf2f4e1ad2107b,2,Irisagrig Meluhha ration group,ration_group_person_cluster,diagnostic,i3-ba lu2 me-luh-ha,ok,https://cdli.earth/search?atf_transliteration=i3-ba%20lu2%20me-luh-ha&format=json&limit=100,200,9668,1,false,3,3,3,0,1,3,3,3,3,0.000000,0.000000,candidate_only,Matched-negative gate did not reject this source-side cuneiform lead; it still requires duplicate-edition review and external-object linkage before any claim.,P453801|P516138|P516366,,"P453801, P516138, and P516366 preserve repeated `i3-ba lu2 me-luh-ha{ki}-me` contexts with neighboring names or role phrases."
mn_e7ea26b9f8daf89f,2,Irisagrig Meluhha ration group,ration_group_person_cluster,diagnostic,lu2 me-luh-ha{ki}-me,ok,https://cdli.earth/search?atf_transliteration=lu2%20me-luh-ha%7Bki%7D-me&format=json&limit=100,200,6497,1,false,2,2,2,0,1,2,2,2,2,0.000000,0.000000,candidate_only,Matched-negative gate did not reject this source-side cuneiform lead; it still requires duplicate-edition review and external-object linkage before any claim.,P453801|P516138,,"P453801, P516138, and P516366 preserve repeated `i3-ba lu2 me-luh-ha{ki}-me` contexts with neighboring names or role phrases."
mn_282d8bad971d08b6,3,Meluhha ship/work context,ship_labor_context,anchor,gurusz,ok,https://cdli.earth/search?atf_transliteration=gurusz&format=json&limit=100,200,4434695,5,true,500,494,500,0,1,0,0,0,0,1.000000,1.000000,false,Anchor is not Meluhha-diagnostic: 100.0% of query-line artifacts lack any Meluhha line.,,P000006|P000021|P000181|P000589|P000658|P000837|P000920|P000924|P000967|P000999|P001002|P001040|P001056|P001151|P001156|P001199|P001228|P001275|P001276|P001308|P001310|P001322|P001331|P001342|P001368|P001429|P001449|P001461|P001553|P001747|P002195|P002261|P002518|P002816|P002862|P003216|P003252|P003253|P003267|P003357|P003555|P004031|P004138|P004205|P004284|P004317|P004431|P004717|P004771|P005068|P005311|P005325|P005404|P005428|P005431|P005476|P005639|P005847|P005850|P005854|P005887|P005951|P005964|P005990|P006034|P006056|P006272|P006275|P006429|P010022|P010033|P010040|P010067|P010077|P010101|P010264|P010419|P010482|P010510|P010529|P010544|P010549|P010650|P010652|P010663|P010686|P010717|P010724|P010726|P010772|P010786|P010809|P010845|P010852|P010863|P010876|P010882|P010903|P010946|P010975|P010977|P011027|P011033|P011048|P011049|P011050|P011051|P011052|P011053|P011054|P011055|P011056|P011057|P011058|P011059|P011063|P011082|P020295|P020390|P020445|P020511|P020534|P020543|P020588|P100001|P100002|P100006|P100007|P100008|P100009|P100010|P100011|P100014|P100015|P100016|P100026|P100054|P100157|P100166|P100177|P100178|P100212|P100282|P100348|P100480|P100495|P100496|P100497|P100498|P100499|P100500|P100501|P100502|P100503|P100504|P100505|P100506|P100507|P100508|P100510|P100511|P100512|P100513|P100514|P100515|P100516|P100517|P100518|P100520|P100521|P100522|P100523|P100524|P100525|P100526|P100527|P100528|P100529|P100530|P100533|P100534|P100535|P100536|P100537|P100538|P100539|P100540|P100541|P100542|P100543|P100544|P100546|P100547|P100548|P100549|P100550|P100551|P100552|P100555|P100556|P100557|P100559|P100561|P100563|P100564|P100566|P100568|P100569|P100570|P100571|P100573|P100574|P100575|P100576|P100577|P100578|P100579|P100580|P100581|P100582|P100583|P100584|P100585|P100586|P100589|P100590|P100591|P100593|P100594|P100596|P100599|P100602|P100608|P100609|P100610|P100840|P100853|P100862|P100902|P100923|P100987|P101029|P101032|P101034|P101035|P101050|P101053|P101054|P101056|P101064|P101065|P101066|P101068|P101069|P101075|P101076|P101079|P101081|P101109|P101110|P101132|P101134|P101135|P101140|P101142|P101143|P101152|P101175|P101182|P101183|P101184|P101204|P101260|P101271|P101450|P101479|P101481|P101483|P101488|P101490|P101491|P101492|P101497|P101505|P101508|P101511|P101518|P101519|P101524|P101527|P101530|P101532|P101533|P101537|P101542|P101544|P101545|P101548|P101567|P101570|P101571|P101578|P101579|P101580|P101583|P101584|P101585|P101586|P101589|P101590|P101609|P101638|P101648|P101655|P101656|P101661|P101663|P101664|P101668|P101670|P101674|P101725|P101771|P101780|P101793|P101807|P101830|P101838|P101843|P101859|P101884|P101885|P101893|P101964|P101971|P101972|P101988|P102003|P102006|P102032|P102056|P102063|P102064|P102068|P102083|P102095|P102096|P102149|P102153|P102158|P102173|P102174|P102175|P102178|P102213|P102223|P102225|P102234|P102236|P102260|P102294|P102295|P102296|P102297|P102298|P102366|P102384|P102386|P102397|P102400|P102401|P102402|P102403|P102409|P102424|P102425|P102429|P102445|P102464|P102501|P102513|P102514|P102517|P102524|P102528|P102529|P102530|P102537|P102541|P102543|P102544|P102592|P102605|P102618|P102620|P102645|P102646|P102653|P102655|P102661|P102666|P102667|P102668|P102669|P102670|P102671|P102672|P102673|P102674|P102675|P102677|P102680|P102682|P102683|P102731|P102733|P102737|P102738|P102740|P102742|P102770|P102775|P102783|P102785|P102814|P102842|P103148|P103178|P103215|P103299|P103402|P103566|P103816|P103857|P103877|P104048|P104161|P104187|P104211|P104457|P104472|P104474|P104512|P104523|P104643|P104657|P104708|P104739|P104751|P104780|P104794|P104795|P104797|P104819|P104830|P104831|P104836|P104856|P104870|P104871|P104880|P104887|P104900|P104902|P104918|P104979|P104992|P104999|P105048|P105056|P105063|P105066|P105081|P105235|P105265|P105266|P105267|P105268|P105269|P105270|P105271|P105272|P105273|P105274|P105275|P105276|P105277|P105278|P105279|P105280|P105281|P105282|P105284|P105285,"Several rows attach Meluhha to boats, laborers, or supervisors: `lu2-tukul`, `gurusz`, `nu-banda3`, and destination `ma2 me-luh-ha-sze3`."
mn_2ac6c2be9340721f,3,Meluhha ship/work context,ship_labor_context,diagnostic,gurusz ma2 me-luh-ha,ok,https://cdli.earth/search?atf_transliteration=gurusz%20ma2%20me-luh-ha&format=json&limit=100,200,3373,1,false,1,1,1,0,1,1,1,1,1,0.000000,0.000000,false,"Singleton or non-replicated source-side hit; retained as a lead, not accepted evidence.",P217502,,"Several rows attach Meluhha to boats, laborers, or supervisors: `lu2-tukul`, `gurusz`, `nu-banda3`, and destination `ma2 me-luh-ha-sze3`."
