date,packet_id,reviewer,box_id,x1,y1,x2,y2,visual_description,uncertainty
2026-05-29,v2_neg_001,Helmholtz,1,176,194,333,566,"large tall rounded/looped dark form at far left, with pale interior and dark lower-right curve",medium
2026-05-29,v2_neg_001,Helmholtz,2,342,222,450,393,"upright dark blocky form with short horizontal projections and a small attached dark mark to the right",medium
2026-05-29,v2_neg_001,Helmholtz,3,510,234,715,319,"upper row cluster of several short vertical dark strokes",medium
2026-05-29,v2_neg_001,Helmholtz,4,513,343,713,424,"middle row cluster of several short vertical dark strokes",medium
2026-05-29,v2_neg_001,Helmholtz,5,514,468,713,548,"lower row cluster of several short vertical dark strokes",medium
2026-05-29,v2_neg_001,Helmholtz,6,733,251,901,559,"large dark angular/looping sign, with diagonal lower strokes and pale central channel",medium
2026-05-29,v2_neg_001,Helmholtz,7,955,256,1071,555,"cluster of tall narrow vertical dark strokes, mostly parallel",low
2026-05-29,v2_neg_001,Helmholtz,8,1082,245,1279,584,"dense fused dark sign cluster with curved/arched central opening and rightward stepped strokes",high
2026-05-29,v2_neg_001,Helmholtz,9,1366,249,1514,583,"large oval/rosette-like sign at far right with internal radial dark wedges",low
2026-05-29,v2_neg_001,Cicero,1,171,96,335,613,"large tall curved/looped vertical form at far left, dark outer contour with pale interior",medium
2026-05-29,v2_neg_001,Cicero,2,348,221,451,374,"compact dark angular form resembling a bent stem with two rightward protrusions",low
2026-05-29,v2_neg_001,Cicero,3,513,224,566,316,"upper-row cluster of short vertical strokes",medium
2026-05-29,v2_neg_001,Cicero,4,585,225,652,321,"upper-row cluster of short vertical strokes",medium
2026-05-29,v2_neg_001,Cicero,5,523,337,647,429,"middle-row cluster of short vertical strokes",medium-high
2026-05-29,v2_neg_001,Cicero,6,523,469,651,560,"lower-row cluster of short vertical strokes",medium-high
2026-05-29,v2_neg_001,Cicero,7,676,240,730,552,"right-side vertical stroke group or sign fragment beside the stacked strokes",high
2026-05-29,v2_neg_001,Cicero,8,757,249,897,563,"large dark curved branching form, like a loop or bent leg shape",low
2026-05-29,v2_neg_001,Cicero,9,964,261,1076,565,"pair/triple of tall parallel vertical strokes",medium
2026-05-29,v2_neg_001,Cicero,10,1086,249,1176,562,"tall angular dark form with triangular upper section and open pale center",medium
2026-05-29,v2_neg_001,Cicero,11,1174,258,1286,576,"broad dark curved/sweeping form adjoining the previous sign",medium-high
2026-05-29,v2_neg_001,Cicero,12,1246,265,1377,381,"upper horizontal/vertical stroke cluster above and to the right of the broad curved form",high
2026-05-29,v2_neg_001,Cicero,13,1374,252,1534,590,"far-right oval/round wheel-like form divided by dark spokes",low
2026-05-29,v2_neg_001,Gibbs,1,145,96,335,620,"large tall rounded/oval-like dark token at far left with internal pale bands and a dark curved right edge",medium
2026-05-29,v2_neg_001,Gibbs,2,350,220,455,345,"compact dark angular token, roughly forked or stepped, with small rightward protrusion",medium
2026-05-29,v2_neg_001,Gibbs,3,510,230,717,548,"cluster of short vertical dark strokes in three stacked rows",low
2026-05-29,v2_neg_001,Gibbs,4,714,405,780,458,"small short horizontal/diagonal dash between stroke cluster and next large token",high
2026-05-29,v2_neg_001,Gibbs,5,770,245,900,560,"large dark curved/looping token with two separated lower legs",medium
2026-05-29,v2_neg_001,Gibbs,6,955,265,1075,550,"three or four tall narrow vertical dark bars",low
2026-05-29,v2_neg_001,Gibbs,7,1070,245,1165,552,"tall oval/loop-like token with dark split interior and open pale center",medium
2026-05-29,v2_neg_001,Gibbs,8,1145,275,1315,580,"broad dark angular token, partly wing- or wedge-like, with top horizontal strokes",medium
2026-05-29,v2_neg_001,Gibbs,9,1365,250,1510,585,"large round/oval token with radial spoke-like dark divisions",low
