row_id,cisi,region,site,type,material,shape,symbol,condition,complete,direction,class,text_length,text,provenance_tier,source_ref,note
16.1,Alt-90,Central Asia,Altyn Depe,SEAL:S,Soft stone,square,None,Good,Y,L/R,PN,2,+390-415+,T3_quarantined_lipi_metadata,data/open_prototype/lipi/metadata_filtered.csv,External Indus-style object candidate; requires source-image and catalogue validation before joining to cuneiform attestations.
147.1,-,Persian Gulf,Failaka,SEAL:C,-,circular,Gaur,Poor,N,-,??,4,+317-817-000-090+,T3_quarantined_lipi_metadata,data/open_prototype/lipi/metadata_filtered.csv,External Indus-style object candidate; requires source-image and catalogue validation before joining to cuneiform attestations.
148.1,-,Persian Gulf,Failaka,SEAL:C,-,circular,-,Poor,?,R/L,UC,4+?,]090-001-350-716+,T3_quarantined_lipi_metadata,data/open_prototype/lipi/metadata_filtered.csv,External Indus-style object candidate; requires source-image and catalogue validation before joining to cuneiform attestations.
160.1,-,Persian Gulf,Hajar,TAB:I,-,prism,Gaur,Fair,Y,R/L,SS,2,+617-117+,T3_quarantined_lipi_metadata,data/open_prototype/lipi/metadata_filtered.csv,External Indus-style object candidate; requires source-image and catalogue validation before joining to cuneiform attestations.
935.1,-,Persian Gulf,Ra's al-Junayz,SEAL:S,Copper,square,Bull1,Poor,N,-,??,1,+000+,T3_quarantined_lipi_metadata,data/open_prototype/lipi/metadata_filtered.csv,External Indus-style object candidate; requires source-image and catalogue validation before joining to cuneiform attestations.
1970.1,-,Mesopotamia,Kish,SEAL:S,-,square,Bull1,Poor,N,-,??,3,+000-643-240+,T3_quarantined_lipi_metadata,data/open_prototype/lipi/metadata_filtered.csv,External Indus-style object candidate; requires source-image and catalogue validation before joining to cuneiform attestations.
1971.1,-,Mesopotamia,Kish,SEAL:S,-,square,Bull1:L,Good,Y,R/L,LP,8,+740-390-590-220-003-060-840-416+,T3_quarantined_lipi_metadata,data/open_prototype/lipi/metadata_filtered.csv,External Indus-style object candidate; requires source-image and catalogue validation before joining to cuneiform attestations.
2153.1,-,Iranian Plateau,Luristan,SEAL:C,-,circular,Gaur,Poor,Y,R/L,SC,4,+831-413-840-091+,T3_quarantined_lipi_metadata,data/open_prototype/lipi/metadata_filtered.csv,External Indus-style object candidate; requires source-image and catalogue validation before joining to cuneiform attestations.
3858.1,Nd-1,Iranian Plateau,Nindowari-damb,SEAL:S,-,square,Bull1:S,Good,Y,BUS,LC,9,+817-220-632-066-740-760-026-060-257+,T3_quarantined_lipi_metadata,data/open_prototype/lipi/metadata_filtered.csv,External Indus-style object candidate; requires source-image and catalogue validation before joining to cuneiform attestations.
3859.1,Nd-2,Iranian Plateau,Nindowari-damb,SEAL:S,-,square,Bull1:W,Good,Y,R/L,SC,3,+400-798-255+,T3_quarantined_lipi_metadata,data/open_prototype/lipi/metadata_filtered.csv,External Indus-style object candidate; requires source-image and catalogue validation before joining to cuneiform attestations.
3860.1,-,Mesopotamia,Nippur,SEAL:S,Steatite,square,Zebu,Poor,N,R/L,??,2,+151-000+,T3_quarantined_lipi_metadata,data/open_prototype/lipi/metadata_filtered.csv,External Indus-style object candidate; requires source-image and catalogue validation before joining to cuneiform attestations.
3863.1,-,Persian Gulf,Qala'at al-Bahrain,SEAL:C,Steatite,circular,Gaur,Poor,Y,L/R,SC,5,+160-090-055-060-190+,T3_quarantined_lipi_metadata,data/open_prototype/lipi/metadata_filtered.csv,External Indus-style object candidate; requires source-image and catalogue validation before joining to cuneiform attestations.
3864.1,-,Persian Gulf,Ra's al-Junayz,POT:T:g,Clay,-,None,Poor,N,R/L,??,4+?,+740-029-220-000[,T3_quarantined_lipi_metadata,data/open_prototype/lipi/metadata_filtered.csv,External Indus-style object candidate; requires source-image and catalogue validation before joining to cuneiform attestations.
3865.1,-,Persian Gulf,Ra's al-Junayz,POT:T:g,Clay,-,None,Poor,Y,R/L,PN,2,+405-004+,T3_quarantined_lipi_metadata,data/open_prototype/lipi/metadata_filtered.csv,External Indus-style object candidate; requires source-image and catalogue validation before joining to cuneiform attestations.
3866.1,-,Persian Gulf,Ra's al-Junayz,POT:T:g,Clay,-,None,Poor,?,R/L,UC,3+?,]740-892-517+,T3_quarantined_lipi_metadata,data/open_prototype/lipi/metadata_filtered.csv,External Indus-style object candidate; requires source-image and catalogue validation before joining to cuneiform attestations.
3874.1,Sh-69,Central Asia,Shortughai,SEAL:S,Steatite,square,Rhin,Fair,Y,R/L,PN,2,+426-003+,T3_quarantined_lipi_metadata,data/open_prototype/lipi/metadata_filtered.csv,External Indus-style object candidate; requires source-image and catalogue validation before joining to cuneiform attestations.
