checked_date,object,site,head,x,head_class,structural_parse,provisional_semantic_gloss,tier,prediction,text
2026-05-31,Ad-8,Allahdino,861,000,terminal_default_head,FRAME(002) + TERMINAL_DEFAULT_CLASSIFIER_ZONE wild shot + TERMINAL_BOOSTER(000) + NO_TAIL,designation frame with terminal classifier/default cap,wild shot terminal-default pressure,should close unless source shows hidden tail,+740-440-503-002-861-000+
2026-05-31,C-3,Chanhu-daro,920,317,terminal_default_head,FRAME(002) + TERMINAL_DEFAULT_CLASSIFIER_ZONE wild shot + TERMINAL_BOOSTER(317) + NO_TAIL,designation frame with terminal classifier/default cap,wild shot closed-template pressure,should close unless source shows hidden tail,+740-016-002-920-317+
2026-05-31,H-2016,Harappa,920,491,terminal_default_head,FRAME(002) + TERMINAL_DEFAULT_CLASSIFIER_ZONE wild shot + TERMINAL_BOOSTER(491) + NO_TAIL,designation frame with terminal classifier/default cap,wild shot closed-template pressure,should close unless source shows hidden tail,+317-740-335-740-176-002-920-491+
2026-05-31,H-1874,Harappa,220,455,open_template_head,FRAME(002) + OPEN_RELATION_ROUTE_HEAD wild shot + OPEN_OPERATOR(455) + TAIL(000),designation frame with relation/route payload,wild shot with strong structural pressure,should preserve tail under source-strict reading,+002-220-455-000+
2026-05-31,H-2094,Harappa,861,416,terminal_default_head,FRAME(002) + TERMINAL_DEFAULT_CLASSIFIER_ZONE wild shot + TERMINAL_BOOSTER(416) + NO_TAIL,designation frame with terminal classifier/default cap,wild shot terminal-default pressure,should close unless source shows hidden tail,+002-861-416+
2026-05-31,H-2097,Harappa,861,416,terminal_default_head,FRAME(002) + TERMINAL_DEFAULT_CLASSIFIER_ZONE wild shot + TERMINAL_BOOSTER(416) + NO_TAIL,designation frame with terminal classifier/default cap,wild shot terminal-default pressure,should close unless source shows hidden tail,+002-861-416+
2026-05-31,H-2095,Harappa,861,416,terminal_default_head,FRAME(002) + TERMINAL_DEFAULT_CLASSIFIER_ZONE wild shot + TERMINAL_BOOSTER(416) + NO_TAIL,designation frame with terminal classifier/default cap,wild shot terminal-default pressure,should close unless source shows hidden tail,+002-861-416+
2026-05-31,-:621.1,Harappa,861,416,terminal_default_head,FRAME(002) + TERMINAL_DEFAULT_CLASSIFIER_ZONE wild shot + TERMINAL_BOOSTER(416) + NO_TAIL,designation frame with terminal classifier/default cap,wild shot terminal-default pressure,should close unless source shows hidden tail,+002-861-416+
2026-05-31,H-2096,Harappa,861,416,terminal_default_head,FRAME(002) + TERMINAL_DEFAULT_CLASSIFIER_ZONE wild shot + TERMINAL_BOOSTER(416) + NO_TAIL,designation frame with terminal classifier/default cap,wild shot terminal-default pressure,should close unless source shows hidden tail,+002-861-416+
2026-05-31,H-1993,Harappa,390,095,mixed_inventory_head,"FRAME(002) + MIXED_INVENTORY_HEAD, status/title semantics only wild + TERMINAL_BOOSTER(095) + NO_TAIL",designation frame with mixed inventory X,candidate structure from prior strict rows,should close unless source shows hidden tail,+740-000-220-004-002-390-095+
