"cisi","local_text","source_visibility_hint","status","source_report","source_path","note"
"H-2240","","acquisition_request_sent","acquisition_request_sent","data/open_prototype/reports/h942_h2240_h2241_source_normalization_gate.csv","Gmail sent message [redacted-msgid] in thread [redacted-msgid]","Creates the correct acquisition path for the source-dark controls."
"H-2240","","exact_local_recurrence_source_dark","exact_local_recurrence_source_dark","data/open_prototype/reports/h942_h2240_h2241_source_normalization_gate.csv","tmp/lipi_current_inscriptions_20260526.csv lines 1130-1131","Admit as exact local recurrence and high-priority source acquisition target."
"H-2240","","local_stress_matrix_defined","local_stress_matrix_defined","data/open_prototype/reports/h942_h2240_h2241_source_normalization_gate.csv","tmp/lipi_current_inscriptions_20260526.csv","Defines the exact local stress: H-942 differs at the terminal while H-2240 is exact and H-2241 fragmentary."
"H-2240","","prior_work_control_set_preserved","prior_work_control_set_preserved","data/open_prototype/reports/h942_h2240_h2241_source_normalization_gate.csv","tmp/parpola_2019_bone_rods.txt lines 102-106","Prior-work acquisition and source-normalization pressure for the companion-text family."
"H-2240","","source_dark_in_checked_layer","source_dark_in_checked_layer","data/open_prototype/reports/h942_h2240_h2241_source_normalization_gate.csv","local rg plus fresh exact public web searches on 2026-05-26","Keep in acquisition lane and do not visually compare."
"H-2240","","source_normalization_pending","source_normalization_pending","data/open_prototype/reports/h942_h2240_h2241_source_normalization_gate.csv","combined prior-work/local/source-visibility state","Use this as a linguistic source-normalization gate before any sign-inventory decision."
"H-786","+520-220-415+ local row unresolved","source_visible_but_side_mapping_unresolved","pressure_only","data/open_prototype/reports/lipi_034_m1206_allograph_decision_gate_evidence.csv","","possible_lower_confidence_terminal_match_T009 | visual_pressure_not_exact_control"
"H-786","side-gated visual pressure","not_exact_side_control","","data/open_prototype/reports/lipi_034_m1206_source_normalized_component_packet_inputs.csv","C:\Users\Acer\OneDrive\Documents\ivc\tmp\m1206_034_terminal_component_gate\derived\T009.png"," / rejected: "
"H-938","+520-220-415+","same_side_photo_duplicate","admissible_duplicate_control","data/open_prototype/reports/lipi_034_m1206_allograph_decision_gate_evidence.csv","","closest_clean_external_terminal_T007 | visibility_support_not_independent_recurrence"
"H-938","+520-220-415+","source_visible_exact_side","admissible_exact_control","data/open_prototype/reports/lipi_034_m1206_allograph_decision_gate_evidence.csv","","closest_clean_external_terminal_T006 | strongest_415_family_pressure"
"H-938","+520-220-415+","source_grade_exact_side","clean_exact_side","data/open_prototype/reports/lipi_034_m1206_source_normalized_component_packet_inputs.csv","C:\Users\Acer\OneDrive\Documents\ivc\tmp\m1206_034_terminal_component_gate\derived\T006.png","clean exact-side 415 terminal control / rejected: independent duplicate if paired with A bis"
"H-938","+520-220-415+","source_grade_exact_side","clean_exact_side","data/open_prototype/reports/lipi_034_m1206_source_normalized_component_packet_inputs.csv","C:\Users\Acer\OneDrive\Documents\ivc\tmp\m1206_034_terminal_component_gate\derived\T014.png","negative/distractor control only / rejected: terminal value/allograph claim"
"H-938","+520-220-415+","source_grade_exact_side_duplicate","clean_exact_side_same_side_bis","data/open_prototype/reports/lipi_034_m1206_source_normalized_component_packet_inputs.csv","C:\Users\Acer\OneDrive\Documents\ivc\tmp\m1206_034_terminal_component_gate\derived\T007.png","visibility support for H-938 A; not independent recurrence / rejected: second object witness"
"H-938","","source_local220_candidate","source_local220_candidate","data/open_prototype/reports/parpola_sign60_local220_middle_crop_manifest.csv","tmp/parpola_sign60_local220_middle_probe/neutral_packet/N006.png","H-938 A middle component from local +520-220-415+"
"H-938","","source_local220_candidate","source_local220_candidate","data/open_prototype/reports/parpola_sign60_local220_strict_fish_family_manifest.csv","tmp/parpola_sign60_local220_strict_probe/neutral_packet/S010.png","H-938 A middle component from local +520-220-415+"
"H-940","+520-220-415+","source_visible_exact_side","admissible_exact_control","data/open_prototype/reports/lipi_034_m1206_allograph_decision_gate_evidence.csv","","weaker_external_terminal_T008 | secondary_415_family_pressure"
"H-940","+520-220-415+","source_grade_exact_side","clean_exact_side","data/open_prototype/reports/lipi_034_m1206_source_normalized_component_packet_inputs.csv","C:\Users\Acer\OneDrive\Documents\ivc\tmp\m1206_034_terminal_component_gate\derived\T008.png","secondary exact-side 415 terminal control / rejected: stable fine-form identity claim"
"H-940","+520-220-415+","source_grade_exact_side","clean_exact_side","data/open_prototype/reports/lipi_034_m1206_source_normalized_component_packet_inputs.csv","C:\Users\Acer\OneDrive\Documents\ivc\tmp\m1206_034_terminal_component_gate\derived\T015.png","negative/distractor control only / rejected: terminal-component evidence"
"H-940","","source_local220_candidate","source_local220_candidate","data/open_prototype/reports/parpola_sign60_local220_middle_crop_manifest.csv","tmp/parpola_sign60_local220_middle_probe/neutral_packet/N007.png","H-940 A middle component from local +520-220-415+"
"H-940","","source_local220_candidate","source_local220_candidate","data/open_prototype/reports/parpola_sign60_local220_strict_fish_family_manifest.csv","tmp/parpola_sign60_local220_strict_probe/neutral_packet/S011.png","H-940 A middle component from local +520-220-415+"
"H-941","+520-220-415+ local row unresolved","source_visible_but_side_mapping_unresolved","pressure_only","data/open_prototype/reports/lipi_034_m1206_allograph_decision_gate_evidence.csv","","close_terminal_match_T010 | visual_pressure_not_exact_control"
"H-941","side-gated visual pressure","not_exact_side_control","","data/open_prototype/reports/lipi_034_m1206_source_normalized_component_packet_inputs.csv","C:\Users\Acer\OneDrive\Documents\ivc\tmp\m1206_034_terminal_component_gate\derived\T010.png"," / rejected: "
"H-942","","crop_manifest_locked","crop_manifest_locked","data/open_prototype/reports/h942_h2240_h2241_source_normalization_gate.csv","tmp/m1206_singleton_controls/derived/h942/*.png","Locks the evidence object used for H-942 source status."
"H-942","","local_stress_matrix_defined","local_stress_matrix_defined","data/open_prototype/reports/h942_h2240_h2241_source_normalization_gate.csv","tmp/lipi_current_inscriptions_20260526.csv","Defines the exact local stress: H-942 differs at the terminal while H-2240 is exact and H-2241 fragmentary."
"H-942","","object_level_side_inference_only","object_level_side_inference_only","data/open_prototype/reports/h942_h2240_h2241_source_normalization_gate.csv","visual/sign-count inference only","Object-level side inference with caution."
"H-942","","prior_work_control_set_preserved","prior_work_control_set_preserved","data/open_prototype/reports/h942_h2240_h2241_source_normalization_gate.csv","tmp/parpola_2019_bone_rods.txt lines 102-106","Prior-work acquisition and source-normalization pressure for the companion-text family."
"H-942","","source_normalization_pending","source_normalization_pending","data/open_prototype/reports/h942_h2240_h2241_source_normalization_gate.csv","combined prior-work/local/source-visibility state","Use this as a linguistic source-normalization gate before any sign-inventory decision."
"H-942","","source_visible_full_signband_control","source_visible_full_signband_control","data/open_prototype/reports/h942_h2240_h2241_source_normalization_gate.csv","CISI Pakistan IA leaf n374 / printed p. 340; stored H-942 crops","Admit H-942 as source-visible full-signband stress/control for +520-220-X."
"H-942","","terminal_evidence_rejected_for_now","terminal_evidence_rejected_for_now","data/open_prototype/reports/h942_h2240_h2241_source_normalization_gate.csv","prior source-normalized component packet plus current visual check","Use H-942 as negative/control signband pressure."
"H-942","+520-220-016+","source_visible_side_mapping_caution","admissible_control_target","data/open_prototype/reports/lipi_034_m1206_allograph_decision_gate_evidence.csv","","H-942_A_panel_labeled_from_cisi_pakistan_n374.png | source_visible_singleton_016_control_for_next_packet"
"H-942","+520-220-016+","data_route_present_but_blurry","data_page_route","data/open_prototype/reports/lipi_034_m1206_k150_h942_singleton_controls_source_gate_sources.csv","tmp/cisi_pakistan_pages/data_h786_h941/page-479.png","object-data route to revisit with better scan"
"H-942","+520-220-016+","label_confirmation_only","ocr_label","data/open_prototype/reports/lipi_034_m1206_k150_h942_singleton_controls_source_gate_sources.csv","tmp/cisi_xml/Corpus of Indus Seals and Inscriptions. Collections in Pakistan_djvu.txt","source-label support for crop identity"
"H-942","+033-700+","source_visible_companion_side","companion_side","data/open_prototype/reports/lipi_034_m1206_k150_h942_singleton_controls_source_gate_sources.csv","no_external_url_stored","side-mapping caution and short-mark lane bridge"
"H-942","+520-220-016+","source_visible_side_mapping_caution","source_page","data/open_prototype/reports/lipi_034_m1206_k150_h942_singleton_controls_source_gate_sources.csv","no_external_url_stored","singleton 016 source-visible control target for blind component sorting"
"H-942","+520-220-016+","not_primary_evidence","","data/open_prototype/reports/lipi_034_m1206_source_normalized_component_packet_inputs.csv","C:\Users\Acer\OneDrive\Documents\ivc\tmp\m1206_source_normalized_component_packet\derived\H942_A_left_component_context_from_signband.png"," / rejected: "
"H-942","+520-220-016+","not_primary_evidence","","data/open_prototype/reports/lipi_034_m1206_source_normalized_component_packet_inputs.csv","C:\Users\Acer\OneDrive\Documents\ivc\tmp\m1206_source_normalized_component_packet\derived\H942_A_middle_component_context_from_signband.png"," / rejected: "
"H-942","+520-220-016+","not_primary_evidence","","data/open_prototype/reports/lipi_034_m1206_source_normalized_component_packet_inputs.csv","C:\Users\Acer\OneDrive\Documents\ivc\tmp\m1206_source_normalized_component_packet\derived\H942_A_right_component_candidate_from_signband.png"," / rejected: "
