source_id,answer_key,packet_id,blind_id,cisi,role,truth_class,target_text,expected_count,catalog_sign_count,source_path,source_exists,segmentation_status,segment_count,gap_count,source_status,source_note
58232470ced7915b,data/open_prototype/reports/campaign_002_y_branch_gap_blind_answer_key.csv,branch_gap_source_box_v1,BG001,M-12,primary_target_368,target_002_368_continuation,+740-390-590-233-002-368-202-892-371+,9,9,tmp/002_y_branch_gap_blind_packet/source_crops/BG001_source_crop.png,True,not_enough_projection_gaps,0,2,public_cisi_plate_route_candidate_label_free_recrop,Catalog metadata has 002 followed by branch-pole sign 368 and continuation.
f4ad8b0036f9a624,data/open_prototype/reports/campaign_002_y_branch_gap_blind_answer_key.csv,branch_gap_source_box_v1,BG002,M-318,primary_target_031,target_002_031_continuation_side_uncertain,+390-003-002-031-575+,5,5,tmp/002_y_branch_gap_blind_packet/source_crops/BG002_source_crop.png,True,exact_projection_gap_count,5,8,public_cisi_plate_route_candidate_label_free_recrop,Catalog metadata has one M-318 row with 002 followed by branch-pole sign 031; same-object side mapping remains a review risk.
4c8df8c9e44945bb,data/open_prototype/reports/campaign_002_y_branch_gap_blind_answer_key.csv,branch_gap_source_box_v1,BG003,M-29,primary_target_220,target_002_220_continuation,+740-055-240-235-806-002-220-455-503+,9,9,tmp/002_y_branch_gap_blind_packet/source_crops/BG003_source_crop.png,True,not_enough_projection_gaps,0,7,public_cisi_plate_route_candidate_label_free_recrop,Catalog metadata has 002 followed by branch-pole sign 220 and continuation.
5f46a3047bd78a82,data/open_prototype/reports/campaign_002_y_branch_gap_blind_answer_key.csv,branch_gap_source_box_v1,BG004,M-678,backup_target_031,target_002_031_continuation_backup,+740-752-006-503-236-806-002-031-502+,9,9,tmp/002_y_branch_gap_blind_packet/source_crops/BG004_source_crop.png,True,not_enough_projection_gaps,0,6,public_cisi_plate_route_candidate_label_free_recrop,Catalog metadata has 002 followed by branch-pole sign 031 and continuation.
c15948995501a5b7,data/open_prototype/reports/campaign_002_y_branch_gap_blind_answer_key.csv,branch_gap_source_box_v1,BG005,M-655,backup_target_220,target_002_220_continuation_backup,+740-717-233-002-220-880-689+,7,7,tmp/002_y_branch_gap_blind_packet/source_crops/BG005_source_crop.png,True,not_enough_projection_gaps,0,5,public_cisi_plate_route_candidate_label_free_recrop,Catalog metadata has 002 followed by branch-pole sign 220 and continuation.
ad4fe6085c802571,data/open_prototype/reports/campaign_002_y_branch_gap_blind_answer_key.csv,branch_gap_source_box_v1,BG006,M-311,backup_target_368,target_002_368_continuation_backup,+401-002-368-165+,4,4,tmp/002_y_branch_gap_blind_packet/source_crops/BG006_source_crop.png,True,exact_projection_gap_count,4,4,public_cisi_plate_route_candidate_label_free_recrop,Catalog metadata has 002 followed by branch-pole sign 368 and continuation.
aaa390a50e8ee36e,data/open_prototype/reports/campaign_002_y_branch_gap_blind_answer_key.csv,branch_gap_source_box_v1,BG007,M-28,scoring_negative,negative_002_y_not_branch_closure_861,+892-374-740-760-840-416-002-861+,8,8,tmp/002_y_branch_gap_blind_packet/source_crops/BG007_source_crop.png,True,exact_projection_gap_count,8,8,same_page_label_free_negative_recrop,"Catalog metadata has 002 followed by 861, not 368/031/220."
47163cd78716aa8a,data/open_prototype/reports/campaign_002_y_branch_gap_blind_answer_key.csv,branch_gap_source_box_v1,BG008,M-653,scoring_negative,negative_002_y_not_branch_closure_861,+679-740-235-002-861+,5,5,tmp/002_y_branch_gap_blind_packet/source_crops/BG008_source_crop.png,True,exact_projection_gap_count,5,6,same_page_label_free_negative_recrop,"Catalog metadata has 002 followed by 861, not 368/031/220."
b7fca6c423a9e1cf,data/open_prototype/reports/campaign_002_y_branch_gap_blind_answer_key.csv,branch_gap_source_box_v1,BG009,M-654,scoring_negative,negative_contains_branch_signs_without_002_y_frame,+368-000-091-031+,4,4,tmp/002_y_branch_gap_blind_packet/source_crops/BG009_source_crop.png,True,exact_projection_gap_count,4,7,same_page_label_free_negative_recrop,Catalog metadata contains branch-pole sign forms but no 002-Y branch frame.
2a2c3e1b18447635,data/open_prototype/reports/campaign_002_y_branch_gap_blind_answer_key.csv,branch_gap_source_box_v1,BG010,M-381,scoring_negative,negative_002_y_not_branch_closure_820_prior_unstable,+740-055-220-032-798-002-820+,7,7,tmp/002_y_branch_gap_blind_packet/source_crops/BG010_source_crop.png,True,exact_projection_gap_count,7,8,prior_blind_negative_control_instability_stress,"Catalog metadata has 002 followed by 820, not 368/031/220; prior blind review found segmentation unstable."
