"date","reviewer","blind_id","visual_cluster","assessment","nearest_neighbors","uncertainty","accepted_claim"
"2026-05-26","Laplace","N002,N008","A","tall parallel vertical terminal family core; N002=N008 near-duplicate","N003,N011","low","0"
"2026-05-26","Laplace","N003,N011","A2","shorter three-prong/top-band variant; near target pair but softer/contextual","N002,N008","medium","0"
"2026-05-26","Laplace","N005,N006","A3","related vertical-prong/context-heavy crops; N005 has horizontal/stem context, N006 blurred","N003,N011,N002,N008","medium-high","0"
"2026-05-26","Laplace","N004,N007,N012","B","oblique fork/leaf/angled terminal family; distractor-like","N010,N001","medium","0"
"2026-05-26","Laplace","N009","D","full-band/signband evidence, not directly comparable to component crops","none","low","0"
"2026-05-26","Fermat","N002,N008","A","parallel vertical terminal family core; effectively identical","N003,N011","low","0"
"2026-05-26","Fermat","N003,N011","A-near","share short vertical-bar rhythm but softer and less isolated","N002,N008","medium","0"
"2026-05-26","Fermat","N005","D","vertical-row but probably nonterminal/contextual due top row plus descending stem","N003,N011,N002,N008","medium-high","0"
"2026-05-26","Fermat","N006","E","blurred compound/distractor; not clean terminal","weakly N002,N008,N010","high","0"
"2026-05-26","Fermat","N007,N012","B","oblique wedge/angled terminal family core","N010,N001","medium","0"
"2026-05-26","Fermat","N004","C","looped/crossing distractor, not same terminal family","weakly N007,N012","low-medium","0"
"2026-05-26","Fermat","N009","different_evidence_kind","full-band/signband crop; not directly comparable one-to-one with terminal/component crops","none","low","0"
