cisi,id,site,type,symbol,cult,shape,condition,text,branch_after_390_004_002,tail_after_branch,branch_tail_class,decision_role,source_tier,source_note,source_path_or_url
H-2003,401.1,Harappa,TAB:B,Mult,None,rectangular,Poor,+390-004-002-817+,817,<END>,817-><END>,817_closure_pole,metadata_only_or_source_dark,Current source index has no usable local image/public plate route for this branch row.,
-,951.1,Dholavira,SEAL:S,Bull1:U,SAN,square,Good,+390-004-002-817+,817,<END>,817-><END>,817_closure_pole,non_cisi_export_or_unresolved_object,"No stable CISI object id in the local row; source acquisition must start from site/id/local metadata, not an object label.",
H-55,1114.1,Harappa,SEAL:S,Bull1:X,SAF,square,Fair,+390-004-002-861-125+,861,125,861->125,tailed_861_positive_witness,source_visible_positive_witness,CISI India leaf n217 / printed p.182; same-line five-glyph H-55 band visible; token identity 125 remains catalog-mediated.,https://archive.org/details/TheIndusScript.TextConcordanceAndTablesIravathanMahadevan/Corpus%20of%20Indus%20Seals%20and%20Inscriptions.%20Collections%20in%20India/page/n217/mode/1up
M-1844,2418.1,Mohenjo-daro,SEAL:S,Bull1:U,SAN,square,Poor,+390-004-002-817+,817,<END>,817-><END>,817_closure_pole,metadata_only_or_source_dark,Current source index has no usable local image/public plate route for this branch row.,
M-1750,2450.1,Mohenjo-daro,SEAL:S,Bull1:W,SAN,square,Fair,+390-004-002-861+,861,<END>,861-><END>,bare_861_source_dark_control,public_source_dark,Direct public CISI Pakistan/XML route failed for M-1750/HR 3506246 variants; cannot measure bare closure or terminal opportunity.,
M-984,2453.1,Mohenjo-daro,SEAL:S,Bull1,-,square,Poor,+390-004-002-817+,817,<END>,817-><END>,817_closure_pole,source_visible_existing_public_crop,CISI Pakistan leaf n130 / printed p.96; M-984 A/a/a bis/a ter crops exist from prior 390-X-002 control packet; strongest public 390-004-002-817 control.,C:\Users\Acer\OneDrive\Documents\ivc\tmp\m315_second_slot_controls\new_controls\derived\M-984_impression_a_signs_close.png
M-103,2630.1,Mohenjo-daro,SEAL:S,Bull1:W,SAN,square,Good,+390-004-002-820+,820,<END>,820-><END>,other_closure_branch,mayig_overlap_only_public_ocr_false_positive,"Mayig has M-103A = P086 P124 P122 P378 matching local 390-004-002-820 by crosswalk, but public CISI OCR hits are suffix-contaminated M-1031/M-1030/M-1036 etc., not an exact M-103 plate route.",C:\Users\Acer\OneDrive\Documents\ivc\tmp\mayig_feature_namespace_probe\repo\indus-valley-script-corpus-ad2f1e218a34b8c33c57de0d6cb8d99272765bbb\corpus\m100_m199\m103.json
Sktd-1,3875.1,Surkotada,SEAL:S,Bull1,RAN,square,Poor,+390-004-002-390-125-820+,390,125 820,390->125 820,other_branch_with_tail,public_plate_route_candidate_not_panel_bound,"CISI India public OCR routes Surkotada 1-2 seals to India_0397/0828, but Sktd-1 is not cleanly OCR-labelled on the panel; use as route candidate only.",https://archive.org/details/TheIndusScript.TextConcordanceAndTablesIravathanMahadevan/Corpus%20of%20Indus%20Seals%20and%20Inscriptions.%20Collections%20in%20India/page/n397/mode/1up
-,3884.1,Tell Umma,TAG:L,Bull1,SAN,-,Fair,+390-004-002-705-127+,705,127,705->127,other_branch_with_tail,non_cisi_export_or_unresolved_object,"No stable CISI object id in the local row; source acquisition must start from site/id/local metadata, not an object label.",
M-1823,3991.1,Mohenjo-daro,SEAL:S,Bull1:S,RAN,square,Good,+390-004-002-031-376+,031,376,031->376,other_branch_with_tail,metadata_only_or_source_dark,Current source index has no usable local image/public plate route for this branch row.,
