cisi,text,y,status,confidence,note,source_image,source_image_abs,overlay_image,token_label,box_color,x1,y1,x2,y2
M-722,+740-585-240-220-032-002-817+,817/P385,candidate_pass,medium,Tail group visually adjacent on one signband; 817/P385 leaf at right edge; needs independent token adjudication.,tmp/032_002_y_source_function_batch/M722_target_817_signband_closeup.png,C:\Users\Acer\OneDrive\Documents\ivc\tmp\032_002_y_source_function_batch\M722_target_817_signband_closeup.png,C:\Users\Acer\OneDrive\Documents\ivc\tmp\032_002_y_token_box_scaffold_v1\M722_token_boxes.png,032/P145,red,500,35,575,265
M-722,+740-585-240-220-032-002-817+,817/P385,candidate_pass,medium,Tail group visually adjacent on one signband; 817/P385 leaf at right edge; needs independent token adjudication.,tmp/032_002_y_source_function_batch/M722_target_817_signband_closeup.png,C:\Users\Acer\OneDrive\Documents\ivc\tmp\032_002_y_source_function_batch\M722_target_817_signband_closeup.png,C:\Users\Acer\OneDrive\Documents\ivc\tmp\032_002_y_token_box_scaffold_v1\M722_token_boxes.png,002/P122,blue,575,35,645,265
M-722,+740-585-240-220-032-002-817+,817/P385,candidate_pass,medium,Tail group visually adjacent on one signband; 817/P385 leaf at right edge; needs independent token adjudication.,tmp/032_002_y_source_function_batch/M722_target_817_signband_closeup.png,C:\Users\Acer\OneDrive\Documents\ivc\tmp\032_002_y_source_function_batch\M722_target_817_signband_closeup.png,C:\Users\Acer\OneDrive\Documents\ivc\tmp\032_002_y_token_box_scaffold_v1\M722_token_boxes.png,817/P385,green,640,5,775,315
H-444,+241-220-032-002-861+,861/P385,candidate_pass,medium,Public crop gives clear same-line cluster; tail boxes follow P385/P122/P145 shape sequence in physical order.,tmp/032_002_y_source_function_batch/H444_non240_861_signband_closeup.png,C:\Users\Acer\OneDrive\Documents\ivc\tmp\032_002_y_source_function_batch\H444_non240_861_signband_closeup.png,C:\Users\Acer\OneDrive\Documents\ivc\tmp\032_002_y_token_box_scaffold_v1\H444_token_boxes.png,861/P385,green,25,35,185,330
H-444,+241-220-032-002-861+,861/P385,candidate_pass,medium,Public crop gives clear same-line cluster; tail boxes follow P385/P122/P145 shape sequence in physical order.,tmp/032_002_y_source_function_batch/H444_non240_861_signband_closeup.png,C:\Users\Acer\OneDrive\Documents\ivc\tmp\032_002_y_source_function_batch\H444_non240_861_signband_closeup.png,C:\Users\Acer\OneDrive\Documents\ivc\tmp\032_002_y_token_box_scaffold_v1\H444_token_boxes.png,002/P122,blue,185,45,285,245
H-444,+241-220-032-002-861+,861/P385,candidate_pass,medium,Public crop gives clear same-line cluster; tail boxes follow P385/P122/P145 shape sequence in physical order.,tmp/032_002_y_source_function_batch/H444_non240_861_signband_closeup.png,C:\Users\Acer\OneDrive\Documents\ivc\tmp\032_002_y_source_function_batch\H444_non240_861_signband_closeup.png,C:\Users\Acer\OneDrive\Documents\ivc\tmp\032_002_y_token_box_scaffold_v1\H444_token_boxes.png,032/P145,red,285,40,405,270
M-49,+527-550-240-220-032-002-300-350-032-190+,300/P205,candidate_pass,medium,"Target non-core branch: 032/P145, 002/P122, and 300/P205 form a visible adjacent central cluster; downstream 350-032-190 continues leftward in physical order.",tmp/032_002_y_source_function_batch/M49_target_300_fullpanel_a.png,C:\Users\Acer\OneDrive\Documents\ivc\tmp\032_002_y_source_function_batch\M49_target_300_fullpanel_a.png,C:\Users\Acer\OneDrive\Documents\ivc\tmp\032_002_y_token_box_scaffold_v1\M49_token_boxes.png,032/P145,red,455,110,530,310
M-49,+527-550-240-220-032-002-300-350-032-190+,300/P205,candidate_pass,medium,"Target non-core branch: 032/P145, 002/P122, and 300/P205 form a visible adjacent central cluster; downstream 350-032-190 continues leftward in physical order.",tmp/032_002_y_source_function_batch/M49_target_300_fullpanel_a.png,C:\Users\Acer\OneDrive\Documents\ivc\tmp\032_002_y_source_function_batch\M49_target_300_fullpanel_a.png,C:\Users\Acer\OneDrive\Documents\ivc\tmp\032_002_y_token_box_scaffold_v1\M49_token_boxes.png,002/P122,blue,385,115,455,305
M-49,+527-550-240-220-032-002-300-350-032-190+,300/P205,candidate_pass,medium,"Target non-core branch: 032/P145, 002/P122, and 300/P205 form a visible adjacent central cluster; downstream 350-032-190 continues leftward in physical order.",tmp/032_002_y_source_function_batch/M49_target_300_fullpanel_a.png,C:\Users\Acer\OneDrive\Documents\ivc\tmp\032_002_y_source_function_batch\M49_target_300_fullpanel_a.png,C:\Users\Acer\OneDrive\Documents\ivc\tmp\032_002_y_token_box_scaffold_v1\M49_token_boxes.png,300/P205,green,285,105,390,310
M-21,+350-001-740-362-692-032-002-861+,861/P385,candidate_pass,medium,Mayig row has local tail as P145-P122-P385; full panel shows adjacent left-side P385/P122/P145 physical cluster.,tmp/032_002_y_source_function_batch/M21_outside_861_fullpanel_a.png,C:\Users\Acer\OneDrive\Documents\ivc\tmp\032_002_y_source_function_batch\M21_outside_861_fullpanel_a.png,C:\Users\Acer\OneDrive\Documents\ivc\tmp\032_002_y_token_box_scaffold_v1\M21_token_boxes.png,032/P145,red,245,95,330,300
