date,packet_id,blind_id,cisi,source_view,role,truth_class,target_text,expected_token_count,source_crop,enhanced_crop,masked_ocr_word_boxes,blind_image_sha256,source_note,accepted_claims_increment
2026-05-29,directionality_no_overlay_packet_v2_label_masked_controls,D2_001,M-1310,A_recut_signband,primary_target_recut,tier1_directionality_candidate_recut_after_v1_edge_fragments,+407-004-001-740-407-590-235+,7,tmp/effective_unicity_directionality_blind_packet_v2/source_crops/M_1310_A_recut_signband_source.png,tmp/effective_unicity_directionality_blind_packet_v2/source_crops/M_1310_A_recut_signband_enhanced_x2.png,0,46be6eaff16cb0da57731800b7052a4de3995e139ea67c9a403bddb874c5afcc,Tighter M-1310 face recut after v1 reviewer noted edge fragments and counted 8 against 7.,0
2026-05-29,directionality_no_overlay_packet_v2_label_masked_controls,D2_002,M-811,a_diagnostic_v1_failed,primary_target_recut,tier1_route_candidate_v1_target_overcount_failure,+226-032-803+,3,tmp/effective_unicity_directionality_blind_packet_v2/source_crops/M_811_a_diagnostic_v1_failed_source.png,tmp/effective_unicity_directionality_blind_packet_v2/source_crops/M_811_a_diagnostic_v1_failed_enhanced_x2.png,0,cf0fe1a89d22559d78941e956f500cd47dbc9efd84a4f22e1818f7a1117f5b34,"Fresh raw-page crop retained as a primary target under the forger protocol, but v1 overcount makes it a high-risk failure witness.",0
2026-05-29,directionality_no_overlay_packet_v2_label_masked_controls,D2_003,M-811,A_diagnostic_v1_failed,primary_target_recut,tier1_route_candidate_v1_target_overcount_failure,+226-032-803+,3,tmp/effective_unicity_directionality_blind_packet_v2/source_crops/M_811_A_diagnostic_v1_failed_source.png,tmp/effective_unicity_directionality_blind_packet_v2/source_crops/M_811_A_diagnostic_v1_failed_enhanced_x2.png,0,cf0fe1a89d22559d78941e956f500cd47dbc9efd84a4f22e1818f7a1117f5b34,"Fresh raw-page crop retained as a primary target under the forger protocol, but v1 overcount makes it a high-risk failure witness.",0
2026-05-29,directionality_no_overlay_packet_v2_label_masked_controls,D2_004,SYN-BLANK-1,synthetic_blank_surface_control,synthetic_blank_auxiliary,auxiliary_control_not_real_negative_denominator,,0,tmp/effective_unicity_directionality_blind_packet_v2/source_crops/SYN_BLANK_1_synthetic_blank_surface_control_source.png,tmp/effective_unicity_directionality_blind_packet_v2/source_crops/SYN_BLANK_1_synthetic_blank_surface_control_enhanced_x2.png,0,466d5a799ce79cef2a72cca8cc9ad62887f2c0a2bce5d2e9915b3f3c827b27d1,Synthetic blank/non-script surface. Reviewers should reject as non-boxable; never counts toward the real-negative denominator.,0
2026-05-29,directionality_no_overlay_packet_v2_label_masked_controls,D2_005,M-386,cisi_india_n130_label_masked_context,scoring_negative_real,forger_recommended_routed_real_negative_label_masked_context,+405-004-001-139+,4,tmp/effective_unicity_directionality_blind_packet_v2/source_crops/M_386_cisi_india_n130_label_masked_context_source.png,tmp/effective_unicity_directionality_blind_packet_v2/source_crops/M_386_cisi_india_n130_label_masked_context_enhanced_x2.png,12,424bc869b5d13bdcce6e951d0139587c854b55039da74e5fdf39c611d0a0cd5a,"Forger-recommended routed real negative. Context crop is cut from raw page, with all OCR word boxes inside the crop masked before blinding; still requires human leakage QA.",0
2026-05-29,directionality_no_overlay_packet_v2_label_masked_controls,D2_006,M-1315,cisi_pakistan_n202_label_masked_context,scoring_negative_real,forger_recommended_routed_real_negative_label_masked_context,+617-142-240+,3,tmp/effective_unicity_directionality_blind_packet_v2/source_crops/M_1315_cisi_pakistan_n202_label_masked_context_source.png,tmp/effective_unicity_directionality_blind_packet_v2/source_crops/M_1315_cisi_pakistan_n202_label_masked_context_enhanced_x2.png,10,c5c70c2cc2dd7ffcf75528248c06da578c10c9e033d0057b0fd2c33e0fdd2da6,"Forger-recommended routed real negative. Context crop is cut from raw page, with all OCR word boxes inside the crop masked before blinding; still requires human leakage QA.",0
2026-05-29,directionality_no_overlay_packet_v2_label_masked_controls,D2_007,M-381,panel_existing_stress_negative,external_stress_control,existing_segmentation_instability_stress_control,+740-055-220-032-798-002-820+,7,tmp/effective_unicity_directionality_blind_packet_v2/source_crops/M_381_panel_existing_stress_negative_source.png,tmp/effective_unicity_directionality_blind_packet_v2/source_crops/M_381_panel_existing_stress_negative_enhanced_x2.png,0,1cbea0de2cd0d4e2b66df7e8635317e2128cb196f1f8b2d6a5d5f45fb08e005e,Existing no-overlay stress control; prior blind reviews found segmentation instability.,0
2026-05-29,directionality_no_overlay_packet_v2_label_masked_controls,D2_008,SYN-LEAK-2,synthetic_label_leak_sentinel,synthetic_leak_sentinel_auxiliary,auxiliary_control_not_real_negative_denominator,,0,tmp/effective_unicity_directionality_blind_packet_v2/source_crops/SYN_LEAK_2_synthetic_label_leak_sentinel_source.png,tmp/effective_unicity_directionality_blind_packet_v2/source_crops/SYN_LEAK_2_synthetic_label_leak_sentinel_enhanced_x2.png,0,edd633a8c1f3d3191295df5f4b9c038a6db5e99ef7aed0abf2696dfec2e67c07,Deliberate fake metadata leak sentinel. Reviewers must flag label_leak=yes; never counts toward the real-negative denominator.,0
2026-05-29,directionality_no_overlay_packet_v2_label_masked_controls,D2_009,H-665,cisi_pakistan_n343_label_masked_context,scoring_negative_real,forger_recommended_routed_real_negative_label_masked_context,+407-004-060-692+,4,tmp/effective_unicity_directionality_blind_packet_v2/source_crops/H_665_cisi_pakistan_n343_label_masked_context_source.png,tmp/effective_unicity_directionality_blind_packet_v2/source_crops/H_665_cisi_pakistan_n343_label_masked_context_enhanced_x2.png,14,9f7572e4e241f02319ec940f8297f008df57a0727cefb7be366bfd41f0d5c651,"Forger-recommended routed real negative. Context crop is cut from raw page, with all OCR word boxes inside the crop masked before blinding; still requires human leakage QA.",0
2026-05-29,directionality_no_overlay_packet_v2_label_masked_controls,D2_010,M-1320,a_diagnostic_v1_failed,primary_target_recut,tier1_route_candidate_v1_target_overcount_failure,+527-555-231-240-798+,5,tmp/effective_unicity_directionality_blind_packet_v2/source_crops/M_1320_a_diagnostic_v1_failed_source.png,tmp/effective_unicity_directionality_blind_packet_v2/source_crops/M_1320_a_diagnostic_v1_failed_enhanced_x2.png,0,e95900943cf9f98704f33d2bf4454a3626f801b4e0d4c0f93c4507358d5ed202,"Fresh raw-page crop retained as a primary target under the forger protocol, but v1 overcount makes it a high-risk failure witness.",0
