date,packet_id,blind_id,cisi,target_text,truth_class,control_role,expected_relation,source_image,source_status,blind_image_sha256,accepted_claims_increment
2026-05-29,m70_order_window_pilot_v1,B001,M-70,+226-032-002-390-692+,target_032_002_390_692_face_order_window,primary_target_face,Catalog metadata has adjacent 032-002 followed by 390-692 under the current stored R/L order.,tmp/032_002_branch_tail_source_acquisition/M70_face_A_signband_from_cisi_india_n066.png,row_level_source_visible_broad_order_window_candidate,3f9e0553a46a78ddc3bfa51e03cd39f09e77485da586b7cf346147e668211218,0
2026-05-29,m70_order_window_pilot_v1,B002,M-70,+226-032-002-390-692+,target_032_002_390_692_impression_order_window,primary_target_impression,Catalog metadata has adjacent 032-002 followed by 390-692 under the current stored R/L order.,tmp/032_002_branch_tail_source_acquisition/M70_impression_a_signband_from_cisi_india_n066.png,row_level_source_visible_broad_order_window_candidate,8aecc8b6c7fc8708134fc638a95736f1d6737ccd4a9a2f07207f72b1a3d75696,0
2026-05-29,m70_order_window_pilot_v1,B003,M-91,+740-100-798-220-032-002-861-255-416+,positive_032_002_861_continuation_lowres,positive_calibrator_lowres,"Catalog metadata has adjacent 032-002 followed by 861-255-416, but source quality is medium-low.",tmp/032_002_branch_tail_source_acquisition/M91_impression_a_signband_from_cisi_india_n071.png,source_visible_broad_order_window_candidate_lowres,fe8c82270e04b7f4a87044443ce9c179622eacdaa9c277a500fa4657168ce707,0
2026-05-29,m70_order_window_pilot_v1,B004,M-240,+520-240-220-032-002-861-603+,positive_032_002_861_603_order_window,positive_calibrator,Catalog metadata has adjacent 032-002 followed by 861-603; the 861->603 tail is recurrent in the all-002 family.,tmp/032_002_branch_tail_source_acquisition/M240_impression_a_signband_from_cisi_india_n095.png,source_visible_broad_order_window_candidate,9becd760e0bbbdea55407878ff72c5c4dd95921219587840a0ad1160307fe6ac,0
2026-05-29,m70_order_window_pilot_v1,B005,M-49,+527-550-240-220-032-002-300-350-032-190+,positive_032_002_300_continuation_existing_token_box,positive_calibrator_existing_token_box,Catalog metadata and earlier scaffold place 032-002-300 in a same-line source-visible window.,tmp/032_002_y_source_function_batch/M49_target_300_signband_closeup.png,source_single_line_existing_token_box,4cadb1103b0b07d03941b679a936642ffbc28683a3636553a93b17830c938637,0
2026-05-29,m70_order_window_pilot_v1,B006,M-77,+832-390-803-002-861+,negative_002_y_prev_not_032_face,scoring_negative,"Catalog metadata has 002 preceded by 803, not by 032; 390 occurs elsewhere in the same row.",tmp/m77_parpola_recurrence_gate/derived/M77_face_A_signband_strict_from_cisi_india_n68.png,local_image_hit_same_site_type_symbol_length,308a212503b508cbb505507822fae8e63bb2ff8da547903d2962ae7c6f317cc2,0
2026-05-29,m70_order_window_pilot_v1,B007,M-77,+832-390-803-002-861+,negative_002_y_prev_not_032_impression,scoring_negative,"Catalog metadata has 002 preceded by 803, not by 032; 390 occurs elsewhere in the same row.",tmp/m77_parpola_recurrence_gate/derived/M77_impression_a_signband_strict_from_cisi_india_n68.png,local_image_hit_same_site_type_symbol_length,e3abb4e00cd3ea34af1477f4903b7d5596dd47361e05a0c767ffd0450c5d0aa9,0
2026-05-29,m70_order_window_pilot_v1,B008,M-17,+390-016-002-814-560+,negative_002_y_prev_not_032,scoring_negative,"Catalog metadata has 002 preceded by 016, not by 032; the row begins with 390.",tmp/m315_second_slot_controls/derived/expanded_first3_context_crops/M-17_impression_a_390-016-002_control_good_control.png,local_image_hit_same_site_type_symbol_length,4274113aae2bb6cc807afedf1b718f00cfba8d941941d13caf5bd230ccf48083,0
2026-05-29,m70_order_window_pilot_v1,B009,M-32,+390-003-002-817+,negative_002_y_prev_not_032_short,scoring_negative,"Catalog metadata has 002 preceded by 003, not by 032; the row begins with 390.",tmp/m315_second_slot_controls/derived/expanded_first3_context_crops/M-32_impression_a_390-003-002_control_good_control.png,local_image_hit_same_site_type_with_shorter_length,4f106a8622ba4016a5ba53d38d83cab8787307d4d4955a5400b7d9aeb3b4c1d3,0
2026-05-29,m70_order_window_pilot_v1,B010,M-315,+390-034-002-374-228-741+,negative_002_y_prev_not_032_upper_face,scoring_negative,"Catalog metadata has 002 preceded by 034, not by 032; the row begins with 390.",tmp/m315_second_slot_controls/derived/expanded_first3_context_crops/M-315_upper_face_390-034-002_candidate_target_good.png,local_image_hit_same_site_type,6ebe3f6b32244d8e3afd9bb838b453a92d1e2a484f7efc95b598eef5f588fb2c,0
2026-05-29,m70_order_window_pilot_v1,B011,M-315,+390-034-002-374-228-741+,negative_002_y_prev_not_032_lower_impression,scoring_negative,"Catalog metadata has 002 preceded by 034, not by 032; the row begins with 390.",tmp/m315_second_slot_controls/derived/expanded_first3_context_crops/M-315_lower_impression_390-034-002_candidate_target_good.png,local_image_hit_same_site_type,e4340327cdcf109ded66ebff73122140b4dbea20d0140780d1375364ac40b058,0
2026-05-29,m70_order_window_pilot_v1,B012,M-1273,+740-055-002-861-603+,negative_002_y_prev_not_032_suffix_control,scoring_negative,"Catalog metadata has 002 preceded by 055, not by 032, followed by the 861-603 suffix lane.",tmp/032_002_861_suffix_split/M1273_impression_a_cisi_pakistan_n195.png,local_image_hit_suffix_split_control,0049e3e27514115a6a6d81e3f56e3a8298aa2a265871dad6e9832f35b8237e36,0
2026-05-29,m70_order_window_pilot_v1,B013,M-376,+740-100-176-002-861-533-717+,negative_002_y_prev_not_032_suffix_control,scoring_negative,"Catalog metadata has 002 preceded by 176, not by 032, followed by the 861-533-717 suffix lane.",tmp/032_002_861_suffix_split/M376_impression_a_cisi_india_n129.png,local_image_hit_suffix_split_control,0a4a3eb2383fb75a8f8abd57980e2f85faa8c2a4cb0ca6b84fdff0a362c3bec6,0
2026-05-29,m70_order_window_pilot_v1,B014,M-683,+740-798-231-002-298-460-032+,negative_032_next_not_002_and_002_y_prev_not_032,quarantine_negative_context_crop,Catalog metadata has 002 away from terminal 032; context crop is not a clean signband crop.,tmp/m685_cisi2/derived/m685_page37_m683_m686_context_gray_autocontrast.png,local_context_image_hit_not_signband_boxed,dc063539edbd9b8d4c1bb5fe905182491f4c13e2d52c6a228aabf052ab9ed8e5,0
2026-05-29,m70_order_window_pilot_v1,B015,M-381,+740-055-220-032-798-002-820+,negative_032_not_adjacent_to_002_stress,scoring_negative,"Catalog metadata places 798 between 032 and 002; prior blind reviews found this crop segmentation-unstable, so it is a stress control.",tmp/source_box_negative_control_v2/panel_crops/M-381_cisi_india_n129_plate_label_free_panel_enhanced_x2.jpg,source_visible_ready_for_token_box_adjudication_but_prior_blind_reviews_found_unstable_segmentation,87d9e2295224801939023659b7186566f02b4ca34c9591957cda91ea4bdab245,0
