item,evidence_type,evidence_path,expected_role,exists,bytes,width_px,height_px,observation,strictness_effect
source_page,image_file,tmp/002390x_source_normalization/cisi_india_n397_w2000.jpg,public page with visible Sktd-1 A/a labels,yes,499938,2429,3441,file present for reproducible visual inspection,supports object and layout review
face_A_full_panel,image_file,tmp/002390x_source_normalization/Sktd1_face_A_full_panel.jpg,object face with top band and separate lower-field sign,yes,82870,635,580,file present for reproducible visual inspection,supports object and layout review
impression_a_full_panel,image_file,tmp/002390x_source_normalization/Sktd1_impression_a_full_panel.jpg,object impression with mirrored top band and separate lower-field sign,yes,70144,680,595,file present for reproducible visual inspection,supports object and layout review
face_A_signband,image_file,tmp/002390x_source_normalization/Sktd1_face_A_signband.jpg,top-band crop only,yes,34103,635,230,file present for reproducible visual inspection,supports boxed-window pressure only
impression_a_signband,image_file,tmp/002390x_source_normalization/Sktd1_impression_a_signband.jpg,top-band crop only,yes,31977,680,235,file present for reproducible visual inspection,supports boxed-window pressure only
source_page,side_pair_recheck,tmp/002390x_source_normalization/cisi_india_n397_w2000.jpg,sktd1_side_pair_recheck,yes,,,,CISI India leaf n397 / printed p.362 is headed Shahi-tump 1 / Surkotada 1-2 seals and visibly labels Sktd-1 A and Sktd-1 a on the Surkotada row.,page_panel_binds_sktd1_a_pair
face_A,side_pair_recheck,tmp/002390x_source_normalization/Sktd1_face_A_full_panel.jpg,sktd1_side_pair_recheck,yes,,,,Face A shows a top inscription band plus a separate lower-field sign near the left side of the animal/body field.,wrapped_layout_visible_not_single_line
impression_a,side_pair_recheck,tmp/002390x_source_normalization/Sktd1_impression_a_full_panel.jpg,sktd1_side_pair_recheck,yes,,,,Impression a shows the corresponding mirrored source view with a top inscription band plus a separate lower-field sign near the right side.,a_pair_mirror_layout_visible
top_band_face,side_pair_recheck,tmp/002390x_source_normalization/Sktd1_face_A_signband.jpg,sktd1_side_pair_recheck,yes,,,,"The cropped face top band is visually compatible with the central 002-390-125 window under local R/L policy, but exact token identities remain catalog-mediated.",token_box_compatible_downweighted
top_band_impression,side_pair_recheck,tmp/002390x_source_normalization/Sktd1_impression_a_signband.jpg,sktd1_side_pair_recheck,yes,,,,"The cropped impression top band preserves the same broad sign-field pressure, but blur and wrapping prevent strict sequence extraction.",token_box_compatible_downweighted
decision,side_pair_recheck,docs/campaign_032_002_861_002390x_sktd1_side_pair_recheck_20260531.md,sktd1_side_pair_recheck,yes,,,,Sktd-1 upgrades from loose public-panel pressure to source-panel side-pair visibility with wrapped layout. It still does not become strict token evidence for 004->002-390->125->820.,sktd1_side_pair_visible_wrapped_layout_not_strict
blind_key_charlie,blind_packet_key,C:\Users\Acer\OneDrive\Documents\ivc\tmp\002390x_source_normalization\Sktd1_impression_a_signband.jpg,downweighted_125_candidate,yes,,,,"downweighted candidate, boxed-window-compatible only; tests whether the weaker candidate is independently segmentable or should stay out of strict counts","boxed-window-compatible only, not strict"
adjudication_n005,token_boundary_adjudication,C:\Users\Acer\OneDrive\Documents\ivc\tmp\002390x_token_boundary_adjudication\N005_Sktd1_boxed.jpg,downweighted_125_candidate,yes,,,,boxed_window_compatible_downweighted; shape_match_possible_not_strict; confidence=low_medium,cannot count equally with M-119/M-735 until side/token identity is explicit
impact_h1993_only,source_upgrade_scenario,data/open_prototype/reports/campaign_032_002_861_002390x_source_upgrade_impact_audit_20260531_scenario_summary.csv,test whether H-1993 alone unlocks 004,yes,,,,strict splits=0; unlocks=no_new_decisive_gate,H-1993 alone is insufficient while Sktd-1 is not strict
impact_sktd1_only,source_upgrade_scenario,data/open_prototype/reports/campaign_032_002_861_002390x_source_upgrade_impact_audit_20260531_scenario_summary.csv,test whether Sktd-1 alone unlocks 004,yes,,,,strict splits=0; unlocks=expanded_strict_125_continuation_set,Sktd-1 alone only expands 125 continuation; it does not create a matched split
impact_h1993_and_sktd1,source_upgrade_scenario,data/open_prototype/reports/campaign_032_002_861_002390x_source_upgrade_impact_audit_20260531_scenario_summary.csv,upper-bound dual strict 004 test,yes,,,,strict splits=1; splits=004:095:1; 125:1,"004 unlocks only if both sides become strict, or an equivalent dual strict pair appears"
