"row_index_1based","dataset_slice","word_token_count","sign_token_count","ivc_p95_length_eligible","raw_sequence"
"1","real_series_d_default_clean","3","8","true","e-ke e-u-da-i-ta OVIS:f"
"2","real_series_d_default_clean","3","9","false","ki-u-ro su-ki-ri-ta-pi okiOVIS"
"3","real_series_d_default_clean","4","9","false","di-ko-to e-ma-a2-o OVIS:f WE"
"4","real_series_d_default_clean","5","13","false","i-ti-nu-ri o-re-te-wo da-*22-to OVIS:m oOVIS:m"
"5","real_series_d_default_clean","3","9","false","ku-ta-to ke-u-po-da-o OVIS:m"
"6","real_series_d_default_clean","3","7","true","da-*22-to ko-we-jo OVIS:m"
"7","real_series_d_default_clean","8","11","false","mi-ti ku-ta-to OVIS:f kiOVIS LANA oOVIS:f okiOVIS oLANA"
"8","real_series_d_default_clean","5","10","false","e-ke-me-de tu-ni-ja OVIS:m OVIS:f paOVIS:m"
"9","real_series_d_default_clean","4","13","false","te-ki-ri-ne-to ka-to-ro se-to-i-ja OVIS:m"
"10","real_series_d_default_clean","4","8","true","to-sa ku-su-pa-ta neOVIS:m LANA"
"11","real_series_d_default_clean","5","8","true","da-ro e-ko-so OVIS:m LANA LANA"
"12","real_series_d_default_clean","3","8","true","pa-i-to a-di-je-wo OVIS:m"
"13","real_series_d_default_clean","5","7","true","e-ko-so OVIS:f WE kiOVIS:m okiOVIS:m"
"14","real_series_d_default_clean","6","8","true","e-ko-so OVIS:f oOVIS:f WE kiOVIS:m okiOVIS:m"
"15","real_series_d_default_clean","6","9","false","o-ku e-ko-so OVIS:f oOVIS:m kiOVIS:m okiOVIS:m"
"16","real_series_d_default_clean","6","12","false","*56-ko-we-e sa-qa-re-jo OVIS:f LANA oOVIS:f okiOVIS:m"
"17","real_series_d_default_clean","6","11","false","di-ta-ka-so e-ko-so OVIS:f WE kiOVIS:m okiOVIS:m"
"18","real_series_d_default_clean","5","8","true","wi-da-ma-ro seOVIS:f kipeOVIS:m oOVIS:m zaOVIS:m"
"19","real_series_d_default_clean","4","6","true","to-wi-no seOVIS:f kiOVIS oOVIS:m"
"20","real_series_d_default_clean","5","7","true","tu-da-ra seOVIS:f kipeOVIS:m oOVIS:m zaOVIS:m"
