scenario_id,source,status,attempted_anchor_count,distinct_anchored_signs,conflicts,base_label_symmetry_log2_bits,residual_label_symmetry_log2_bits,reduction_log2_bits,residual_share_of_base,assignments,note,decision
accepted_anchors_only,claim_ledger,accepted,0,0,,4410.970864,4410.970864,0.000000,1.000000,,No external phonetic or Brahmi-derived phonetic anchors are accepted.,not_applicable_no_accepted_phonetic_anchors_exist
weak_toponym_meluhha_1970_1,retracted_external_phonetic_anchor_length_pattern_values_2026_05_29,retracted,3,3,,4410.970864,4383.506414,27.464450,0.993774,000=me;643=luh;240=ha,Meluhha toponym on Kish 1970.1; retracted_length_pattern_only.,stress_only_rejected_anchor_not_admissible
weak_ship_ma2_meluhha_147_1,retracted_external_phonetic_anchor_length_pattern_values_2026_05_29,retracted,4,4,,4410.970864,4374.356667,36.614197,0.991699,317=ma2;817=me;000=luh;090=ha,ma2 me-luh-ha / Meluhha ship context on Failaka 147.1; retracted_length_pattern_only.,stress_only_rejected_anchor_not_admissible
weak_name_lu_sunzida_147_1,retracted_external_phonetic_anchor_length_pattern_values_2026_05_29,retracted,4,4,,4410.970864,4374.356667,36.614197,0.991699,317=lu2;817=sun2;000=zi;090=da,lu2-sun2-zi-da / Lu-sunzida on Failaka 147.1; retracted_length_pattern_only.,stress_only_rejected_anchor_not_admissible
weak_interpreter_shu_ilishu_147_1,retracted_external_phonetic_anchor_length_pattern_values_2026_05_29,retracted,4,4,,4410.970864,4374.356667,36.614197,0.991699,317=szu;817=i3;000=li2;090=su,szu-i3-li2-su / Shu-ilishu on Failaka 147.1; retracted_length_pattern_only.,stress_only_rejected_anchor_not_admissible
weak_object_onomastic_ur_guna_meluhha_3898_1,retracted_object_level_onomastic_value_attempts_2026_05_30,retracted,6,6,,4410.970864,4356.064804,54.906060,0.987552,002=ur;004=gun3;328=a;001=me;803=luh;415=ha,ur gun3-a me-luh-ha / Meluhha dog/object phrase on Ur 3898.1; rejected_mapped_indus_object_has_no_readable_script_bridge; object bridge state mapped_indus_object_no_readable_cuneiform_bridge; target-site null >= observed share 0.6857.,stress_only_rejected_anchor_not_admissible
weak_brahmi_local220_indus_local220_M37_source_S009,retracted_brahmi_shape_descent_nearest_neighbors_2026_05_29,retracted,1,1,,4410.970864,4401.813517,9.157347,0.997924,220=kaṃ,Top-1 Brahmi neighbor for indus_local220_M37_source_S009; rejected by family inconsistency and shape null.,stress_only_rejected_anchor_not_admissible
weak_brahmi_local220_indus_local220_H938_source_S010,retracted_brahmi_shape_descent_nearest_neighbors_2026_05_29,retracted,1,1,,4410.970864,4401.813517,9.157347,0.997924,220=o,Top-1 Brahmi neighbor for indus_local220_H938_source_S010; rejected by family inconsistency and shape null.,stress_only_rejected_anchor_not_admissible
weak_brahmi_local220_indus_local220_H940_source_S011,retracted_brahmi_shape_descent_nearest_neighbors_2026_05_29,retracted,1,1,,4410.970864,4401.813517,9.157347,0.997924,220=ka,Top-1 Brahmi neighbor for indus_local220_H940_source_S011; rejected by family inconsistency and shape null.,stress_only_rejected_anchor_not_admissible
weak_brahmi_v2_817_visual_ltr_catalog_reverse,retracted_brahmi_source_token_descent_v2_2026_05_30,retracted,1,1,,4410.970864,4401.813517,9.157347,0.997924,817=dhya,"V2 source-token near-miss; samples=2, shape_null=0.025000, label_null=1.000000; failed_shape_or_label_null.",stress_only_rejected_anchor_not_admissible
weak_brahmi_v2_527_visual_ltr_catalog_order,retracted_brahmi_source_token_descent_v2_2026_05_30,retracted,1,1,,4410.970864,4401.813517,9.157347,0.997924,527=ra,"V2 source-token near-miss; samples=6, shape_null=0.035000, label_null=0.031000; failed_shape_or_label_null.",stress_only_rejected_anchor_not_admissible
weak_brahmi_v2_472_visual_ltr_catalog_reverse,retracted_brahmi_source_token_descent_v2_2026_05_30,retracted,1,1,,4410.970864,4401.813517,9.157347,0.997924,472=ra,"V2 source-token near-miss; samples=2, shape_null=0.040000, label_null=1.000000; failed_shape_or_label_null.",stress_only_rejected_anchor_not_admissible
weak_brahmi_v2_060_visual_ltr_catalog_reverse,retracted_brahmi_source_token_descent_v2_2026_05_30,retracted,1,1,,4410.970864,4401.813517,9.157347,0.997924,060=ka,"V2 source-token near-miss; samples=2, shape_null=0.040000, label_null=1.000000; failed_shape_or_label_null.",stress_only_rejected_anchor_not_admissible
weak_brahmi_v2_061_visual_ltr_catalog_order,retracted_brahmi_source_token_descent_v2_2026_05_30,retracted,1,1,,4410.970864,4401.813517,9.157347,0.997924,061=ra,"V2 source-token near-miss; samples=4, shape_null=0.047500, label_null=0.020000; failed_shape_or_label_null.",stress_only_rejected_anchor_not_admissible
weak_brahmi_v2_top_nearmiss_nonconflicting_set,retracted_brahmi_source_token_descent_v2_2026_05_30,retracted,5,5,,4410.970864,4365.209462,45.761402,0.989626,817=dhya;527=ra;472=ra;060=ka;061=ra,Top 5 nonconflicting V2 source-token near-misses forced as an inadmissible stress set; summary status source_token_brahmi_descent_v2_no_accepted_anchor.,stress_only_rejected_anchor_not_admissible
weak_combined_ship_failaka147_plus_one_brahmi220,combined_retracted_stress,retracted,5,5,,4410.970864,4365.209462,45.761402,0.989626,317=ma2;817=me;000=luh;090=ha;220=kaṃ,Maximal illustrative nonconflicting stress from one four-sign external candidate plus one weak Brahmi local-220 candidate.,stress_only_rejected_anchor_not_admissible
weak_combined_object_onomastic3898_plus_brahmi_v2_nearmiss_set,combined_retracted_stress,retracted,11,11,,4410.970864,4310.379871,100.590993,0.977195,002=ur;004=gun3;328=a;001=me;803=luh;415=ha;817=dhya;527=ra;472=ra;060=ka;061=ra,Maximal current rejected-anchor stress from the strict mapped U17649 onomastic value attempt plus the top nonconflicting Brahmi v2 near-miss set. Both source lanes are retracted and inadmissible.,stress_only_rejected_anchor_not_admissible
idealized_1_accepted_independent_anchors,idealized_lower_bound,hypothetical,1,1,,4410.970864,4401.813517,9.157347,0.997924,S1=V1,"Idealized lower-bound curve: independent accepted sign-value anchors with no homophony, allography, or polyvalence.",stress_only_rejected_anchor_not_admissible
idealized_2_accepted_independent_anchors,idealized_lower_bound,hypothetical,2,2,,4410.970864,4392.658699,18.312165,0.995848,S1=V1;S2=V2,"Idealized lower-bound curve: independent accepted sign-value anchors with no homophony, allography, or polyvalence.",stress_only_rejected_anchor_not_admissible
idealized_3_accepted_independent_anchors,idealized_lower_bound,hypothetical,3,3,,4410.970864,4383.506414,27.464450,0.993774,S1=V1;S2=V2;S3=V3,"Idealized lower-bound curve: independent accepted sign-value anchors with no homophony, allography, or polyvalence.",stress_only_rejected_anchor_not_admissible
idealized_4_accepted_independent_anchors,idealized_lower_bound,hypothetical,4,4,,4410.970864,4374.356667,36.614197,0.991699,S1=V1;S2=V2;S3=V3;S4=V4,"Idealized lower-bound curve: independent accepted sign-value anchors with no homophony, allography, or polyvalence.",stress_only_rejected_anchor_not_admissible
idealized_5_accepted_independent_anchors,idealized_lower_bound,hypothetical,5,5,,4410.970864,4365.209462,45.761402,0.989626,S1=V1;S2=V2;S3=V3;S4=V4;S5=V5,"Idealized lower-bound curve: independent accepted sign-value anchors with no homophony, allography, or polyvalence.",stress_only_rejected_anchor_not_admissible
idealized_8_accepted_independent_anchors,idealized_lower_bound,hypothetical,8,8,,4410.970864,4337.783145,73.187719,0.983408,S1=V1;S2=V2;S3=V3;S4=V4;S5=V5;S6=V6;S7=V7;S8=V8,"Idealized lower-bound curve: independent accepted sign-value anchors with no homophony, allography, or polyvalence.",stress_only_rejected_anchor_not_admissible
idealized_10_accepted_independent_anchors,idealized_lower_bound,hypothetical,10,10,,4410.970864,4319.511728,91.459136,0.979266,S1=V1;S2=V2;S3=V3;S4=V4;S5=V5;S6=V6;S7=V7;S8=V8;S9=V9;S10=V10,"Idealized lower-bound curve: independent accepted sign-value anchors with no homophony, allography, or polyvalence.",stress_only_rejected_anchor_not_admissible
