date,packet_id,blind_id,cisi,target_text,truth_class,control_role,expected_relation,source_crop,source_crop_sha256,source_status,blind_image_sha256,accepted_claims_increment
2026-05-29,branch_gap_source_box_v1,BG001,M-12,+740-390-590-233-002-368-202-892-371+,target_002_368_continuation,primary_target_368,Catalog metadata has 002 followed by branch-pole sign 368 and continuation.,tmp/002_y_branch_gap_blind_packet/source_crops/BG001_source_crop.png,4ad39b324555d92a0f12ac8938a74595890d437c3d93e42722c078a2408e7575,public_cisi_plate_route_candidate_label_free_recrop,4ad39b324555d92a0f12ac8938a74595890d437c3d93e42722c078a2408e7575,0
2026-05-29,branch_gap_source_box_v1,BG002,M-318,+390-003-002-031-575+,target_002_031_continuation_side_uncertain,primary_target_031,Catalog metadata has one M-318 row with 002 followed by branch-pole sign 031; same-object side mapping remains a review risk.,tmp/002_y_branch_gap_blind_packet/source_crops/BG002_source_crop.png,aec3e0dda25b0094e67f267ef05de87a801330eed0cb586a32aa59754868adff,public_cisi_plate_route_candidate_label_free_recrop,aec3e0dda25b0094e67f267ef05de87a801330eed0cb586a32aa59754868adff,0
2026-05-29,branch_gap_source_box_v1,BG003,M-29,+740-055-240-235-806-002-220-455-503+,target_002_220_continuation,primary_target_220,Catalog metadata has 002 followed by branch-pole sign 220 and continuation.,tmp/002_y_branch_gap_blind_packet/source_crops/BG003_source_crop.png,236e4c0b51c00c8b64a449b61618e0da8e50f1374688eca844b674b114f4e166,public_cisi_plate_route_candidate_label_free_recrop,236e4c0b51c00c8b64a449b61618e0da8e50f1374688eca844b674b114f4e166,0
2026-05-29,branch_gap_source_box_v1,BG004,M-678,+740-752-006-503-236-806-002-031-502+,target_002_031_continuation_backup,backup_target_031,Catalog metadata has 002 followed by branch-pole sign 031 and continuation.,tmp/002_y_branch_gap_blind_packet/source_crops/BG004_source_crop.png,1b2f772b7a8b3f08fd2f205eca27e8c33d1358940bc70cfb6abc19f729c29103,public_cisi_plate_route_candidate_label_free_recrop,1b2f772b7a8b3f08fd2f205eca27e8c33d1358940bc70cfb6abc19f729c29103,0
2026-05-29,branch_gap_source_box_v1,BG005,M-655,+740-717-233-002-220-880-689+,target_002_220_continuation_backup,backup_target_220,Catalog metadata has 002 followed by branch-pole sign 220 and continuation.,tmp/002_y_branch_gap_blind_packet/source_crops/BG005_source_crop.png,d87a68e919148f6c67b3008b13248338b378ca584851055fe80f0ae1851f3f38,public_cisi_plate_route_candidate_label_free_recrop,d87a68e919148f6c67b3008b13248338b378ca584851055fe80f0ae1851f3f38,0
2026-05-29,branch_gap_source_box_v1,BG006,M-311,+401-002-368-165+,target_002_368_continuation_backup,backup_target_368,Catalog metadata has 002 followed by branch-pole sign 368 and continuation.,tmp/002_y_branch_gap_blind_packet/source_crops/BG006_source_crop.png,dd4e55ff9fd25af64ff666aff486f7b607245c93dca8cd491a612cb304988942,public_cisi_plate_route_candidate_label_free_recrop,dd4e55ff9fd25af64ff666aff486f7b607245c93dca8cd491a612cb304988942,0
2026-05-29,branch_gap_source_box_v1,BG007,M-28,+892-374-740-760-840-416-002-861+,negative_002_y_not_branch_closure_861,scoring_negative,"Catalog metadata has 002 followed by 861, not 368/031/220.",tmp/002_y_branch_gap_blind_packet/source_crops/BG007_source_crop.png,f31fd8202615968c55c2d2e686981f019f079a380c995602950e64ebb8cac857,same_page_label_free_negative_recrop,f31fd8202615968c55c2d2e686981f019f079a380c995602950e64ebb8cac857,0
2026-05-29,branch_gap_source_box_v1,BG008,M-653,+679-740-235-002-861+,negative_002_y_not_branch_closure_861,scoring_negative,"Catalog metadata has 002 followed by 861, not 368/031/220.",tmp/002_y_branch_gap_blind_packet/source_crops/BG008_source_crop.png,9ccb1e333ebc6e31bb67c9c4968c554df9417cec0c745b9ff75ef9c06d9438e1,same_page_label_free_negative_recrop,9ccb1e333ebc6e31bb67c9c4968c554df9417cec0c745b9ff75ef9c06d9438e1,0
2026-05-29,branch_gap_source_box_v1,BG009,M-654,+368-000-091-031+,negative_contains_branch_signs_without_002_y_frame,scoring_negative,Catalog metadata contains branch-pole sign forms but no 002-Y branch frame.,tmp/002_y_branch_gap_blind_packet/source_crops/BG009_source_crop.png,7b16f3b462fd6a7aab133665ef0c1e3da7f0930126f8a515b5e3810e11fc7c7a,same_page_label_free_negative_recrop,7b16f3b462fd6a7aab133665ef0c1e3da7f0930126f8a515b5e3810e11fc7c7a,0
2026-05-29,branch_gap_source_box_v1,BG010,M-381,+740-055-220-032-798-002-820+,negative_002_y_not_branch_closure_820_prior_unstable,scoring_negative,"Catalog metadata has 002 followed by 820, not 368/031/220; prior blind review found segmentation unstable.",tmp/002_y_branch_gap_blind_packet/source_crops/BG010_source_crop.png,47ae04e37eac1b2f749738cf09c5780358fd2ab8203c16b266ac255c981933c8,prior_blind_negative_control_instability_stress,47ae04e37eac1b2f749738cf09c5780358fd2ab8203c16b266ac255c981933c8,0
